"municipality_id","municipality","year","unemployment"
"2101","Benešov","2006",3.05
"2101","Benešov","2007",2.24
"2101","Benešov","2008",2.15
"2101","Benešov","2009",4.4
"2101","Benešov","2010",4.69
"2101","Benešov","2011",4.35
"2101","Benešov","2012",4.26
"2101","Benešov","2013",4.17
"2101","Benešov","2014",4.07
"2101","Benešov","2015",3.64
"2101","Benešov","2016",2.51
"2101","Benešov","2017",1.76
"2101","Benešov","2018",1.38
"2101","Benešov","2019",1.45
"2101","Benešov","2020",2.34
"2102","Beroun","2006",3.59
"2102","Beroun","2007",3.07
"2102","Beroun","2008",3.17
"2102","Beroun","2009",5.6
"2102","Beroun","2010",6.28
"2102","Beroun","2011",5.83
"2102","Beroun","2012",6.07
"2102","Beroun","2013",6.31
"2102","Beroun","2014",6.54
"2102","Beroun","2015",5.71
"2102","Beroun","2016",4.64
"2102","Beroun","2017",3.32
"2102","Beroun","2018",2.9
"2102","Beroun","2019",2.87
"2102","Beroun","2020",3.86
"2103","Brandýs nad Labem-Stará Boleslav","2006",1.77
"2103","Brandýs nad Labem-Stará Boleslav","2007",1.4
"2103","Brandýs nad Labem-Stará Boleslav","2008",1.56
"2103","Brandýs nad Labem-Stará Boleslav","2009",3.03
"2103","Brandýs nad Labem-Stará Boleslav","2010",3.31
"2103","Brandýs nad Labem-Stará Boleslav","2011",2.79
"2103","Brandýs nad Labem-Stará Boleslav","2012",3.07
"2103","Brandýs nad Labem-Stará Boleslav","2013",3.35
"2103","Brandýs nad Labem-Stará Boleslav","2014",3.62
"2103","Brandýs nad Labem-Stará Boleslav","2015",2.73
"2103","Brandýs nad Labem-Stará Boleslav","2016",1.9
"2103","Brandýs nad Labem-Stará Boleslav","2017",1.37
"2103","Brandýs nad Labem-Stará Boleslav","2018",1.23
"2103","Brandýs nad Labem-Stará Boleslav","2019",1.14
"2103","Brandýs nad Labem-Stará Boleslav","2020",2.05
"2104","Čáslav","2006",6.18
"2104","Čáslav","2007",4.46
"2104","Čáslav","2008",5.14
"2104","Čáslav","2009",7.27
"2104","Čáslav","2010",7.56
"2104","Čáslav","2011",7.48
"2104","Čáslav","2012",7.54
"2104","Čáslav","2013",7.6
"2104","Čáslav","2014",7.66
"2104","Čáslav","2015",6.95
"2104","Čáslav","2016",5.82
"2104","Čáslav","2017",4.68
"2104","Čáslav","2018",3.98
"2104","Čáslav","2019",3.43
"2104","Čáslav","2020",3.73
"2105","Černošice","2006",1.48
"2105","Černošice","2007",1.2
"2105","Černošice","2008",1.35
"2105","Černošice","2009",2.99
"2105","Černošice","2010",3.13
"2105","Černošice","2011",2.97
"2105","Černošice","2012",3.44
"2105","Černošice","2013",3.91
"2105","Černošice","2014",4.37
"2105","Černošice","2015",3.64
"2105","Černošice","2016",2.69
"2105","Černošice","2017",1.78
"2105","Černošice","2018",1.51
"2105","Černošice","2019",1.39
"2105","Černošice","2020",2.86
"2106","Český Brod","2006",4.49
"2106","Český Brod","2007",4.13
"2106","Český Brod","2008",4.19
"2106","Český Brod","2009",6.39
"2106","Český Brod","2010",7.34
"2106","Český Brod","2011",6.67
"2106","Český Brod","2012",6.82
"2106","Český Brod","2013",6.97
"2106","Český Brod","2014",7.13
"2106","Český Brod","2015",5.9
"2106","Český Brod","2016",4.51
"2106","Český Brod","2017",2.84
"2106","Český Brod","2018",2.08
"2106","Český Brod","2019",2.23
"2106","Český Brod","2020",3.46
"2107","Dobříš","2006",5.11
"2107","Dobříš","2007",3.9
"2107","Dobříš","2008",4.1
"2107","Dobříš","2009",6.86
"2107","Dobříš","2010",8.07
"2107","Dobříš","2011",7.14
"2107","Dobříš","2012",7.54
"2107","Dobříš","2013",7.94
"2107","Dobříš","2014",8.33
"2107","Dobříš","2015",7.7
"2107","Dobříš","2016",5.96
"2107","Dobříš","2017",4.15
"2107","Dobříš","2018",3.76
"2107","Dobříš","2019",3.36
"2107","Dobříš","2020",4.75
"2108","Hořovice","2006",2.18
"2108","Hořovice","2007",1.38
"2108","Hořovice","2008",1.91
"2108","Hořovice","2009",4.78
"2108","Hořovice","2010",4.84
"2108","Hořovice","2011",4.28
"2108","Hořovice","2012",4.34
"2108","Hořovice","2013",4.4
"2108","Hořovice","2014",4.46
"2108","Hořovice","2015",3.56
"2108","Hořovice","2016",2.68
"2108","Hořovice","2017",2.18
"2108","Hořovice","2018",1.75
"2108","Hořovice","2019",1.84
"2108","Hořovice","2020",2.91
"2109","Kladno","2006",5.86
"2109","Kladno","2007",4.57
"2109","Kladno","2008",4.34
"2109","Kladno","2009",6.56
"2109","Kladno","2010",7.16
"2109","Kladno","2011",7.14
"2109","Kladno","2012",7.48
"2109","Kladno","2013",7.82
"2109","Kladno","2014",8.15
"2109","Kladno","2015",6.89
"2109","Kladno","2016",5.95
"2109","Kladno","2017",4.44
"2109","Kladno","2018",3.47
"2109","Kladno","2019",3.2
"2109","Kladno","2020",4.76
"2110","Kolín","2006",4.97
"2110","Kolín","2007",4.29
"2110","Kolín","2008",4.86
"2110","Kolín","2009",7.19
"2110","Kolín","2010",8.48
"2110","Kolín","2011",7.89
"2110","Kolín","2012",7.9
"2110","Kolín","2013",7.91
"2110","Kolín","2014",7.91
"2110","Kolín","2015",6.9
"2110","Kolín","2016",5.61
"2110","Kolín","2017",4.22
"2110","Kolín","2018",3.53
"2110","Kolín","2019",3.39
"2110","Kolín","2020",4.02
"2111","Kralupy nad Vltavou","2006",3.73
"2111","Kralupy nad Vltavou","2007",3.2
"2111","Kralupy nad Vltavou","2008",3.27
"2111","Kralupy nad Vltavou","2009",4.54
"2111","Kralupy nad Vltavou","2010",5.33
"2111","Kralupy nad Vltavou","2011",4.59
"2111","Kralupy nad Vltavou","2012",5.09
"2111","Kralupy nad Vltavou","2013",5.59
"2111","Kralupy nad Vltavou","2014",6.09
"2111","Kralupy nad Vltavou","2015",5.37
"2111","Kralupy nad Vltavou","2016",4.02
"2111","Kralupy nad Vltavou","2017",2.75
