ico,municipality_id,municipality,date,year,EU_fund_total_CZK,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,population_total,unemployment
75370,3209,Plzeň,2007-12-31,2007,0,19393.303668714983,1407.9716148872506,4438.496617791027,150903.54327181014,581.9315372319537,180799,2.9
75370,3209,Plzeň,2008-12-31,2008,158.15155246455097,20203.42638757596,1321.0549628629306,4458.238757596218,156708.35970290346,-595.2235516542877,185125,3.07
75370,3209,Plzeň,2009-12-31,2009,1749.1438458475695,17637.947647359502,1110.365230959619,6152.302924322725,167468.2342686503,-5517.4698555325385,185855,5.34
75370,3209,Plzeň,2010-12-31,2010,1005.8026394516605,18532.703503941055,1092.453948898831,6503.31719403405,173276.90168732317,980.8570238410811,184849,5.7
75370,3209,Plzeň,2011-12-31,2011,3984.327461148585,18365.62315771538,1027.0660479469468,5869.660886780512,124423.67898567108,139.0319627740311,184871,5.18
75370,3209,Plzeň,2012-12-31,2012,1343.252683740386,19374.285586668466,2771.228596032924,5963.906122736474,131154.36500644987,2261.3780170017435,185275,5.16
75370,3209,Plzeň,2013-12-31,2013,4274.609092203765,18836.74675247344,839.6426742692541,6025.863343024662,136616.70583650854,805.2761972731664,186077,5.14
75370,3209,Plzeň,2014-12-31,2014,977.7804023071377,19514.354398248284,781.2436834094368,6096.395644369676,143989.05343480466,-2348.9024668749503,187245,5.12
75370,3209,Plzeň,2015-12-31,2015,144.27499038206068,20219.940492746693,742.7482478346352,5810.820966842021,145247.5047894681,-1003.6740839577076,188190,4.01
75370,3209,Plzeň,2016-12-31,2016,51.38487767737706,22204.077159376306,4895.287612554262,5066.681073224378,143697.22262357836,6521.898266492537,189131,2.81
75370,3209,Plzeň,2017-12-31,2017,1005.922247729872,24677.87607682862,2103.2610508730045,4983.154412612585,149239.5105613791,3445.3379673986888,189747,2.08
75370,3209,Plzeň,2018-12-31,2018,1314.405518817948,25962.903099911793,1285.2434382225379,3761.413187386155,125482.86239291437,-121.18438770557258,191599,1.66
75370,3209,Plzeň,2019-12-31,2019,3191.8777986411365,32257.301733168624,1099.177980286185,4550.395861076796,127666.85750525015,4138.249610767948,194280,2.12
75370,3209,Plzeň,2020-12-31,2020,329.94158663518783,26362.014517809483,1822.2350403407925,4852.075571443235,132774.38580440363,-230.8851306199882,194840,3.05
81531,4214,Ústí nad Labem,2007-12-31,2007,0,9965.425260197842,42.610048503706416,581.6722547151759,39302.50979641755,-1838.1763271961863,120197,7.63
