"","ico","municipality_id","municipality","date","year","EU_fund_total_CZK","Tax_revenue_CZK","Capital_revenue_CZK","Non_tax_revenue_CZK","lt_tangible_assets_CZK","Saldo_CZK","population_total","unemployment","winner_vote_percentage","party_id","party_name","party_name_short","is_overall_winner","is_winner_in_coalition","winner_vote_percentage_adj","coalition_vote_percentage","coalition_vote_percentage_adj","is_coalition_won","is_election_year"
"1",75370,3209,"Plzeň","2007-12-31",2007,0,19393.303668715,1407.97161488725,4438.49661779103,150903.54327181,581.931537231954,180799,2.9,42.15,53,"Občanská demokratická strana","ODS",1,1,49.9171009000474,54.78,64.8744670772146,1,0
"2",75370,3209,"Plzeň","2008-12-31",2008,158.151552464551,20203.426387576,1321.05496286293,4458.23875759622,156708.359702903,-595.223551654288,185125,3.07,42.15,53,"Občanská demokratická strana","ODS",1,1,49.9171009000474,54.78,64.8744670772146,1,0
"3",75370,3209,"Plzeň","2009-12-31",2009,1749.14384584757,17637.9476473595,1110.36523095962,6152.30292432272,167468.23426865,-5517.46985553254,185855,5.34,42.15,53,"Občanská demokratická strana","ODS",1,1,49.9171009000474,54.78,64.8744670772146,1,0
"4",75370,3209,"Plzeň","2010-12-31",2010,1005.80263945166,18532.703503941,1092.45394889883,6503.31719403405,173276.901687323,980.857023841081,184849,5.7,23.67,53,"Občanská demokratická strana","ODS",0,1,28.597317868793,53.63,64.7940074906367,1,1
"5",75370,3209,"Plzeň","2011-12-31",2011,3984.32746114858,18365.6231577154,1027.06604794695,5869.66088678051,124423.678985671,139.031962774031,184871,5.18,23.67,53,"Občanská demokratická strana","ODS",0,1,28.597317868793,53.63,64.7940074906367,1,0
"6",75370,3209,"Plzeň","2012-12-31",2012,1343.25268374039,19374.2855866685,2771.22859603292,5963.90612273647,131154.36500645,2261.37801700174,185275,5.16,23.67,53,"Občanská demokratická strana","ODS",0,1,28.597317868793,53.63,64.7940074906367,1,0
"7",75370,3209,"Plzeň","2013-12-31",2013,4274.60909220376,18836.7467524734,839.642674269254,6025.86334302466,136616.705836509,805.276197273166,186077,5.14,20.27,7,"Česká strana sociálně demokratická","ČSSD",1,1,23.216126445997,44.13,50.5440384835643,1,1
"8",75370,3209,"Plzeň","2014-12-31",2014,977.780402307138,19514.3543982483,781.243683409437,6096.39564436968,143989.053434805,-2348.90246687495,187245,5.12,20.27,7,"Česká strana sociálně demokratická","ČSSD",1,1,23.216126445997,44.13,50.5440384835643,1,0
"9",75370,3209,"Plzeň","2015-12-31",2015,144.274990382061,20219.9404927467,742.748247834635,5810.82096684202,145247.504789468,-1003.67408395771,188190,4.01,20.27,7,"Česká strana sociálně demokratická","ČSSD",1,1,23.216126445997,44.13,50.5440384835643,1,0
"10",75370,3209,"Plzeň","2016-12-31",2016,51.3848776773771,22204.0771593763,4895.28761255426,5066.68107322438,143697.222623578,6521.89826649254,189131,2.81,20.27,7,"Česká strana sociálně demokratická","ČSSD",1,1,23.216126445997,44.13,50.5440384835643,1,0
