ico,year,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,municipality_id,municipality,date,population_total,unemployment,EU_fund_total_CZK
75370,2007,3506289910,254559860,802475750,27283209720,105212640,3209,Plzeň,2007-12-31,180799,2.9,0
75370,2008,3740159310,244560300,825331450,29010635090,-110190760,3209,Plzeň,2008-12-31,185125,3.07,29277806.15
75370,2009,3278100760,206366930,1143436260,31124808680,-1025449360,3209,Plzeň,2009-12-31,185855,5.34,325087129.47
75370,2010,3425751710,201939020,1202131680,32030062000,181310440,3209,Plzeň,2010-12-31,184849,5.7,185921612.1
75370,2011,3395271118.79,189874727.35,1085130077.8,23002329957.76,25702977.9899979,3209,Plzeň,2011-12-31,184871,5.18,736586602.07
75370,2012,3589570762.07,513439378.13,1104962706.89,24299624976.57,418976812.099998,3209,Plzeň,2012-12-31,185275,5.16,248871140.98
75370,2013,3505085325.46,156238189.9,1121274573.28,25421226771.94,149843378.959999,3209,Plzeň,2013-12-31,186077,5.14,795406436.05
75370,2014,3653965289.3,146283973.5,1141519602.43,26961230310.4,-439820242.41,3209,Plzeň,2014-12-31,187245,5.12,183084491.43
75370,2015,3805190601.33,139777792.76,1093538397.75,27334127926.33,-188881425.860001,3209,Plzeň,2015-12-31,188190,4.01,27151110.44
75370,2016,4199479317.23,925850641.45,958266458.06,27177599412.02,1233493141.04,3209,Plzeň,2016-12-31,189131,2.81,9718473.3
75370,2017,4682552951.95,399087474.62,945538600.33,28317749410.49,653742543.299999,3209,Plzeň,2017-12-31,189747,2.08,190870728.74
75370,2018,4974466271.04,246251357.52,720683005.29,24042390951.62,-23218807.5,3209,Plzeň,2018-12-31,191599,1.66,251838783
75370,2019,6266948580.72,213548298.01,884050907.89,24803117076.12,803979134.379997,3209,Plzeň,2019-12-31,194280,2.12,620118018.72
75370,2020,5136374908.65,355044275.26,945378404.34,25869761330.13,-44985658.8499985,3209,Plzeň,2020-12-31,194840,3.05,64285818.74
81531,2007,1197814220,5121600,69915260,4724043770,-220943280,4214,Ústí nad Labem,2007-12-31,120197,7.63,0
81531,2008,1198738090,277000,45768550,4867072030,-5633070,4214,Ústí nad Labem,2008-12-31,121024,6.98,326598850.61
81531,2009,1110665060,240210,44550940,5504113660,-495272990,4214,Ústí nad Labem,2009-12-31,121458,9.53,123267173.84
81531,2010,1129930720,10375550,44708960,5657633000,-142856680,4214,Ústí nad Labem,2010-12-31,120762,10.5,668274030.04
81531,2011,1141285889.87,91860,42872825.67,3618396848.17,119450918.75,4214,Ústí nad Labem,2011-12-31,120259,10.72,74125590
81531,2012,1195419981.42,136552,39892021.03,3772578625.06,218635090.7,4214,Ústí nad Labem,2012-12-31,119716,11.25,55518972.98
81531,2013,1244054513.12,37545,57294395.84,3714016043.45,202331687.59,4214,Ústí nad Labem,2013-12-31,119519,11.78,1556680.84
81531,2014,1323730130.73,54304,45824077.16,3813308380.26,98886109.1899996,4214,Ústí nad Labem,2014-12-31,119492,12.31,10155274.08
81531,2015,1352828338.2,16078794,43099446.59,3838743623.23,-65148711.8800001,4214,Ústí nad Labem,2015-12-31,119512,10.23,299787796.02
81531,2016,1462386818.79,4492483,87207285.9,3737216588.02,378831798.5,4214,Ústí nad Labem,2016-12-31,119296,8.53,29403631.25
81531,2017,1566382075.11,71600,71505429.54,3629305759.65,225443600.990001,4214,Ústí nad Labem,2017-12-31,119498,5.84,15357474.02
81531,2018,1662003925.25,183400,114590935.11,3425642721.11,70719539.8800001,4214,Ústí nad Labem,2018-12-31,119407,4.92,21823576.37
81531,2019,1777167170.13,18363.8,128878437.77,3517420320.69,114585529.780001,4214,Ústí nad Labem,2019-12-31,119338,3.98,31179561.2
81531,2020,1678479340.89,311560,215790616.52,3338707936.97,136967342.85,4214,Ústí nad Labem,2020-12-31,118651,5.53,7578178.7
231401,2007,193413950,8194420,128981260,2213416680,17538080,2101,Benešov,2007-12-31,54893,2.24,0
231401,2008,222571630,8596070,142031450,2466230080,36498230,2101,Benešov,2008-12-31,55582,2.15,31766334.78
231401,2009,195065770,8943150,14095610,2543000450,20348100,2101,Benešov,2009-12-31,56097,4.4,41230
231401,2010,193442660,5884790,14753200,2649051140,-21849180,2101,Benešov,2010-12-31,56830,4.69,8972507.66
231401,2011,188469487.58,4692020,15360356.92,3140683693.78,33794562.3399999,2101,Benešov,2011-12-31,57341,4.35,3899394.42
231401,2012,195663435.25,5136622,14732809.47,3195625100.93,-1926370,2101,Benešov,2012-12-31,57815,4.26,13335418.65
231401,2013,227624951.32,3798193,18341491.03,3308183111.94,34371046.8599999,2101,Benešov,2013-12-31,58165,4.17,169052221.71
231401,2014,242900148.29,6207455,18564051.6,3588387574.73,13086021.22,2101,Benešov,2014-12-31,58576,4.07,90889652.6
231401,2015,250944679,7341891,17309190.89,3652060495.49,7548916.79999995,2101,Benešov,2015-12-31,58981,3.64,7090476
231401,2016,272537631.73,2554491,36995371.46,3660065885.4,76524725.9099998,2101,Benešov,2016-12-31,59365,2.51,0
231401,2017,290362904.32,19797013.33,30889054.97,3803515880.45,-80500811.5900002,2101,Benešov,2017-12-31,59740,1.76,96624853.4
231401,2018,309727939.38,7109463,31345894.85,3617870655.3,-91405504.76,2101,Benešov,2018-12-31,60380,1.38,222222222
231401,2019,327170137.32,1468962,64952717.67,3736293674.7,13494835.0599999,2101,Benešov,2019-12-31,61022,1.45,6027742.4
231401,2020,313027298.87,34879466.67,36795074.95,4060318134.93,-58993375.1900001,2101,Benešov,2020-12-31,61335,2.34,6631275.71
232947,2007,115317820,979470,44410530,1267344380,-5972700,2125,Vlašim,2007-12-31,25762,2.19,0
232947,2008,124323640,3141560,46135540,1310320220,-4001470,2125,Vlašim,2008-12-31,25826,2.62,96114699.69
232947,2009,112213940,118873630,58146000,1530291130,10037860,2125,Vlašim,2009-12-31,25835,4.39,84023775.36
232947,2010,113672520,6259140,46919620,1611149000,-7128490,2125,Vlašim,2010-12-31,25825,5.07,58299740.25
232947,2011,110240265.6,13032910,47343015.47,1063067104.53,7626510.56999993,2125,Vlašim,2011-12-31,25795,4.45,5922787
232947,2012,109492063.76,55343697,48513410.55,1129829175.03,19520339.8,2125,Vlašim,2012-12-31,25756,4.52,130368091.75
232947,2013,132506248.25,31338950,45103586.58,1231337075.04,-28527069.42,2125,Vlašim,2013-12-31,25756,4.59,14816646.19
232947,2014,146422427.1,8102816,40985511.3,1365460485.19,-1531743.06999993,2125,Vlašim,2014-12-31,25797,4.67,23369083.33
232947,2015,143436173.48,2745252,36760060.84,1392834382.44,-15777251.5,2125,Vlašim,2015-12-31,25751,3.95,5614812.41
232947,2016,154217521.61,9371928,41128161.62,1406236334.56,27952422.24,2125,Vlašim,2016-12-31,25730,3.09,3407571.42
232947,2017,169988597.58,18329536,74094359.35,1412891451.49,52472342.53,2125,Vlašim,2017-12-31,25776,2.14,52357687.49
232947,2018,184229505.6,1326537,52533380.57,1525454944.1,-28633309.7,2125,Vlašim,2018-12-31,25885,1.81,6201690.27
232947,2019,192735558.44,2017250,57943787.18,1580419678.77,23327782.83,2125,Vlašim,2019-12-31,25947,1.73,8516754
232947,2020,182103666.54,576271,59089128.54,1580680392.27,37921819.3199999,2125,Vlašim,2020-12-31,25947,2.28,5241135.5
232963,2007,49519360,9890620,21964770,420230650,7749750,2126,Votice,2007-12-31,11976,2.09,0
232963,2008,56481760,3654900,26027910,454283780,10569420,2126,Votice,2008-12-31,12038,2.19,0
232963,2009,53393580,446800,28429740,518271610,-12249520,2126,Votice,2009-12-31,12159,3.57,20269509.7
232963,2010,56486840,1040220,30159180,522903000,13631410,2126,Votice,2010-12-31,12198,4.4,32151265.77
232963,2011,52750558.36,1158838,32186949.06,413689489.14,-29014508.81,2126,Votice,2011-12-31,12309,4.12,18825831.62
232963,2012,54280768.18,470941,30763536.03,426480241.68,9544034.38,2126,Votice,2012-12-31,12312,3.86,7057156.78
232963,2013,66855172.52,269410,32027939.23,432282272.18,12628660.2,2126,Votice,2013-12-31,12352,3.6,18445814.53
232963,2014,71481862.89,201690,30792587.5,511073734.37,-9227700.56,2126,Votice,2014-12-31,12345,3.33,54139549.81
232963,2015,71669043.35,2376764.5,33413094.65,547829150.39,19247306.37,2126,Votice,2015-12-31,12353,2.81,1632290
232963,2016,78953578.57,176500,37606498.85,545808048.29,20437495.61,2126,Votice,2016-12-31,12357,2.49,0
