"year","municipality_id","municipality_name","vote_percentage","party_id","party_name","party_name_short","winer","coallition"
2006,2101,"Benešov",38.19,53,"Občanská demokratická strana","ODS",1,1
2006,2102,"Beroun",43.32,53,"Občanská demokratická strana","ODS",1,1
2006,2103,"Brandýs nad Labem-Stará Boleslav",46.05,53,"Občanská demokratická strana","ODS",1,1
2006,2104,"Čáslav",42.78,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,2105,"Černošice",54.82,53,"Občanská demokratická strana","ODS",1,1
2006,2106,"Český Brod",45.6,53,"Občanská demokratická strana","ODS",1,1
2006,2107,"Dobříš",40.66,53,"Občanská demokratická strana","ODS",1,1
2006,2108,"Hořovice",37.88,53,"Občanská demokratická strana","ODS",1,1
2006,2109,"Kladno",38.16,53,"Občanská demokratická strana","ODS",1,1
2006,2110,"Kolín",38.49,53,"Občanská demokratická strana","ODS",1,1
2006,2111,"Kralupy nad Vltavou",40.33,53,"Občanská demokratická strana","ODS",1,1
2006,2112,"Kutná Hora",39.72,53,"Občanská demokratická strana","ODS",1,1
2006,2113,"Lysá nad Labem",42.85,53,"Občanská demokratická strana","ODS",1,1
2006,2114,"Mělník",41.27,53,"Občanská demokratická strana","ODS",1,1
2006,2115,"Mladá Boleslav",41.18,53,"Občanská demokratická strana","ODS",1,1
2006,2116,"Mnichovo Hradiště",40.01,53,"Občanská demokratická strana","ODS",1,1
2006,2117,"Neratovice",42.49,53,"Občanská demokratická strana","ODS",1,1
2006,2118,"Nymburk",37.53,53,"Občanská demokratická strana","ODS",1,1
2006,2119,"Poděbrady",46.24,53,"Občanská demokratická strana","ODS",1,1
2006,2120,"Příbram",36.8,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,2121,"Rakovník",35.76,53,"Občanská demokratická strana","ODS",1,1
2006,2122,"Říčany",52.08,53,"Občanská demokratická strana","ODS",1,1
2006,2123,"Sedlčany",37.37,53,"Občanská demokratická strana","ODS",1,1
2006,2124,"Slaný",38.37,53,"Občanská demokratická strana","ODS",1,1
2006,2125,"Vlašim",39.3,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,2126,"Votice",36.63,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,3101,"Blatná",35.53,7,"Česká strana sociálně demokratická","ČSSD",0,0
2006,3102,"České Budějovice",42.77,53,"Občanská demokratická strana","ODS",1,1
