"","ico","year","class_of_revenue","Revenue_CZK"
"1",75370,2007,"Daňové příjmy",3506289910
"2",75370,2007,"Kapitálové příjmy",254559860
"3",75370,2007,"Nedaňové příjmy",802475750
"4",81531,2007,"Daňové příjmy",1197814220
"5",81531,2007,"Kapitálové příjmy",5121600
"6",81531,2007,"Nedaňové příjmy",69915260
"7",231401,2007,"Daňové příjmy",193413950
"8",231401,2007,"Kapitálové příjmy",8194420
"9",231401,2007,"Nedaňové příjmy",128981260
"10",232947,2007,"Daňové příjmy",115317820
"11",232947,2007,"Kapitálové příjmy",979470
"12",232947,2007,"Nedaňové příjmy",44410530
"13",232963,2007,"Daňové příjmy",49519360
"14",232963,2007,"Kapitálové příjmy",9890620
"15",232963,2007,"Nedaňové příjmy",21964770
"16",233129,2007,"Daňové příjmy",212261560
"17",233129,2007,"Kapitálové příjmy",111723180
"18",233129,2007,"Nedaňové příjmy",22081170
"19",233242,2007,"Daňové příjmy",77220570
"20",233242,2007,"Kapitálové příjmy",4990040
"21",233242,2007,"Nedaňové příjmy",5241580
"22",234516,2007,"Daňové příjmy",805503650
"23",234516,2007,"Kapitálové příjmy",78379390
"24",234516,2007,"Nedaňové příjmy",161256650
"25",234877,2007,"Daňové příjmy",163112110
"26",234877,2007,"Kapitálové příjmy",36305610
"27",234877,2007,"Nedaňové příjmy",10385480
"28",235334,2007,"Daňové příjmy",66841340
"29",235334,2007,"Kapitálové příjmy",1595000
"30",235334,2007,"Nedaňové příjmy",3557470
"31",235440,2007,"Daňové příjmy",352533080
"32",235440,2007,"Kapitálové příjmy",143560040
"33",235440,2007,"Nedaňové příjmy",179027920
"34",236021,2007,"Daňové příjmy",128777040
"35",236021,2007,"Kapitálové příjmy",22510000
"36",236021,2007,"Nedaňové příjmy",41968810
"37",236195,2007,"Daňové příjmy",233108850
"38",236195,2007,"Kapitálové příjmy",74901450
"39",236195,2007,"Nedaňové příjmy",85945560
"40",236977,2007,"Daňové příjmy",180391930
"41",236977,2007,"Nedaňové příjmy",31539840
"42",237051,2007,"Daňové příjmy",201920580
"43",237051,2007,"Kapitálové příjmy",9565230
"44",237051,2007,"Nedaňové příjmy",25159000
"45",237108,2007,"Daňové příjmy",163605950
"46",237108,2007,"Kapitálové příjmy",2383200
"47",237108,2007,"Nedaňové příjmy",9031720
"48",238295,2007,"Daňové příjmy",566591700
