"ico","year","Tax_revenue_CZK","Capital_revenue_CZK","Non_tax_revenue_CZK"
75370,2007,3506289910,254559860,802475750
75370,2008,3740159310,244560300,825331450
75370,2009,3278100760,206366930,1143436260
75370,2010,3425751710,201939020,1202131680
75370,2011,3395271118.79,189874727.35,1085130077.8
75370,2012,3589570762.07,513439378.13,1104962706.89
75370,2013,3505085325.46,156238189.9,1121274573.28
75370,2014,3653965289.3,146283973.5,1141519602.43
75370,2015,3805190601.33,139777792.76,1093538397.75
75370,2016,4199479317.23,925850641.45,958266458.06
75370,2017,4682552951.95,399087474.62,945538600.33
75370,2018,4974466271.04,246251357.52,720683005.29
75370,2019,6266948580.72,213548298.01,884050907.89
75370,2020,5136374908.65,355044275.26,945378404.34
81531,2007,1197814220,5121600,69915260
81531,2008,1198738090,277000,45768550
81531,2009,1110665060,240210,44550940
81531,2010,1129930720,10375550,44708960
81531,2011,1141285889.87,91860,42872825.67
81531,2012,1195419981.42,136552,39892021.03
81531,2013,1244054513.12,37545,57294395.84
81531,2014,1323730130.73,54304,45824077.16
81531,2015,1352828338.2,16078794,43099446.59
81531,2016,1462386818.79,4492483,87207285.9
81531,2017,1566382075.11,71600,71505429.54
81531,2018,1662003925.25,183400,114590935.11
81531,2019,1777167170.13,18363.8,128878437.77
81531,2020,1678479340.89,311560,215790616.52
231401,2007,193413950,8194420,128981260
231401,2008,222571630,8596070,142031450
231401,2009,195065770,8943150,14095610
231401,2010,193442660,5884790,14753200
231401,2011,188469487.58,4692020,15360356.92
231401,2012,195663435.25,5136622,14732809.47
231401,2013,227624951.32,3798193,18341491.03
231401,2014,242900148.29,6207455,18564051.6
231401,2015,250944679,7341891,17309190.89
231401,2016,272537631.73,2554491,36995371.46
231401,2017,290362904.32,19797013.33,30889054.97
231401,2018,309727939.38,7109463,31345894.85
231401,2019,327170137.32,1468962,64952717.67
231401,2020,313027298.87,34879466.67,36795074.95
232947,2007,115317820,979470,44410530
232947,2008,124323640,3141560,46135540
232947,2009,112213940,118873630,58146000
232947,2010,113672520,6259140,46919620
232947,2011,110240265.6,13032910,47343015.47
232947,2012,109492063.76,55343697,48513410.55
232947,2013,132506248.25,31338950,45103586.58
232947,2014,146422427.1,8102816,40985511.3
232947,2015,143436173.48,2745252,36760060.84
232947,2016,154217521.61,9371928,41128161.62
232947,2017,169988597.58,18329536,74094359.35
232947,2018,184229505.6,1326537,52533380.57
232947,2019,192735558.44,2017250,57943787.18
232947,2020,182103666.54,576271,59089128.54
232963,2007,49519360,9890620,21964770
232963,2008,56481760,3654900,26027910
232963,2009,53393580,446800,28429740
232963,2010,56486840,1040220,30159180
232963,2011,52750558.36,1158838,32186949.06
232963,2012,54280768.18,470941,30763536.03
