"","year","ico","lt_tangible_assets_CZK"
"1",2007,284653,149657750
"2",2007,293199,275976990
"3",2007,283193,392442790
"4",2007,289965,391215880
"5",2007,282979,330421540
"6",2007,259438,361338930
"7",2007,288365,370155640
"8",2007,235334,369418380
"9",2007,257966,389591550
"10",2007,291676,406440250
"11",2007,300292,472368280
"12",2007,279072,430737240
"13",2007,232963,420230650
"14",2007,282481,474997620
"15",2007,262781,534907080
"16",2007,258199,463139070
"17",2007,256455,474089080
"18",2007,262587,488201550
"19",2007,273571,501435120
"20",2007,264334,637716380
"21",2007,296759,499548870
"22",2007,301493,561664350
"23",2007,272523,596156860
"24",2007,257265,511546970
"25",2007,241121,561605930
"26",2007,300870,540382210
"27",2007,276111,572132110
"28",2007,256986,561737250
"29",2007,245551,551566600
"30",2007,286745,617372470
"31",2007,274101,618719940
"32",2007,268321,602507140
"33",2007,298221,658003090
"34",2007,300063,613052480
"35",2007,297755,636320010
"36",2007,289931,676343780
"37",2007,233242,634195770
"38",2007,292311,614973140
"39",2007,272876,631726030
"40",2007,275808,670562670
"41",2007,287113,645579470
"42",2007,284611,648768570
"43",2007,262633,628999710
"44",2007,248789,698637330
"45",2007,271888,740686470
"46",2007,246476,748286380
"47",2007,274879,691961430
"48",2007,281964,665865650
"49",2007,283347,741322800
"50",2007,248266,655658600
"51",2007,296651,733331900
"52",2007,249831,770798880
"53",2007,269247,1390889260
"54",2007,284165,734665860
"55",2007,271560,618675540
"56",2007,242098,757158420
"57",2007,283509,778845800
"58",2007,266230,768391980
"59",2007,282651,782100380
"60",2007,252921,823199750
"61",2007,285455,829020160
"62",2007,282707,808710490
"63",2007,267538,852539030
"64",2007,251984,840168410
"65",2007,287172,869200990
"66",2007,260177,1345817410
"67",2007,294900,855842440
"68",2007,253383,849556770
"69",2007,245941,872085330
"70",2007,265365,1051743970
"71",2007,279846,845993050
"72",2007,274968,833444400
"73",2007,238309,868835470
"74",2007,296317,906888460
"75",2007,302724,939448900
"76",2007,250996,880270220
"77",2007,281859,847367870
"78",2007,253901,894452100
"79",2007,243272,949976850
"80",2007,263991,858877860
"81",2007,260771,940336950
"82",2007,257125,960694440
"83",2007,239402,1008934040
"84",2007,279676,1115358920
"85",2007,255513,1109973430
"86",2007,303640,899193600
"87",2007,297437,958830870
"88",2007,261602,1107694150
"89",2007,232947,1267344380
"90",2007,284301,1261390560
"91",2007,299529,1157166990
"92",2007,304271,1174827790
"93",2007,279102,1192398700
"94",2007,297852,1228711300
"95",2007,279978,1258676060
"96",2007,278653,1263734740
"97",2007,245585,1263757360
"98",2007,250805,1182909300
"99",2007,237108,1267634520
"100",2007,303038,1245322450
"101",2007,295892,1434279820
"102",2007,277037,1262661060
"103",2007,261718,1274222640
"104",2007,294136,1334369470
"105",2007,299138,1264267610
"106",2007,270059,1313915900
"107",2007,285030,1334026720
"108",2007,279773,1340960900
"109",2007,295671,1343073100
"110",2007,265781,1346137820
"111",2007,265209,1401500280
"112",2007,277444,1625017920
"113",2007,299634,1409266390
"114",2007,236977,1407417940
"115",2007,237051,1583217030
"116",2007,292427,1466358620
"117",2007,301311,1388155720
"118",2007,297577,1492961980
"119",2007,233129,1768682880
"120",2007,276227,1537149860
"121",2007,272868,1621561080
"122",2007,231401,2213416680
"123",2007,239640,1610374890
"124",2007,244309,1647207900
"125",2007,272728,1574735420
"126",2007,239500,1713215470
"127",2007,278475,1661744440
"128",2007,254843,1764550120
"129",2007,277177,1474427650
"130",2007,275336,1721293400
"131",2007,256129,1688533980
"132",2007,301825,1997143690
"133",2007,277819,1771918790
"134",2007,240079,1834492740
"135",2007,279943,1832256200
"136",2007,254061,1870276630
"137",2007,304450,1849070760
"138",2007,276944,1845136870
"139",2007,261912,1753701370
"140",2007,298077,1848146400
"141",2007,297569,1994876480
"142",2007,248801,1927853110
"143",2007,266027,1876529570
"144",2007,236195,1871619270
"145",2007,247618,1962529800
"146",2007,267449,2295892900
"147",2007,259047,1986342870
"148",2007,234877,1894837410
"149",2007,240702,1812670060
"150",2007,287351,2083660900
"151",2007,236021,2075113740
"152",2007,296139,2130191500
"153",2007,245836,2350650580
"154",2007,271632,2089635220
"155",2007,291463,2044482880
"156",2007,295841,2346025100
"157",2007,303461,2244224410
"158",2007,283061,2118998560
"159",2007,259586,2175568480
"160",2007,250627,1996619560
"161",2007,263958,2594181200
"162",2007,270211,2326300090
"163",2007,253316,2322056700
"164",2007,298212,2330657060
"165",2007,246875,2599899250
"166",2007,260231,2573095060
"167",2007,293881,2692289770
"168",2007,278360,2835873920
"169",2007,297313,2643107840
"170",2007,296643,2912713230
"171",2007,255661,3049312820
"172",2007,251810,2954308650
"173",2007,253979,3204925840
"174",2007,291471,3140978500
"175",2007,266621,3340275510
"176",2007,284891,3153637170
"177",2007,290629,3069370990
"178",2007,261238,3230337790
"179",2007,304387,3267510050
"180",2007,297534,3389670760
"181",2007,260428,3394401300
"182",2007,288659,3909232080
"183",2007,249998,4263061200
"184",2007,253014,3671433680
"185",2007,243132,4166929020
"186",2007,261891,4195823100
"187",2007,262340,4341249490
"188",2007,286010,4514418340
"189",2007,81531,4724043770
"190",2007,238295,4728155540
"191",2007,234516,5186772960
"192",2007,297488,5500180940
"193",2007,300535,6293092090
"194",2007,235440,6441564320
"195",2007,266094,7387406590
"196",2007,268810,8377467640
"197",2007,244732,8759997900
"198",2007,283924,8576786030
"199",2007,254657,9275791580
