,year,municipality_id,municipality_name,winner_vote_percentage,party_id,party_name,party_name_short,is_overall_winner,is_winner_in_coalition,winner_vote_percentage_adj,coalition_vote_percentage,coalition_vote_percentage_adj,is_coalition_won,is_election_year
0,2006,2101,Benešov,38.19,53,Občanská demokratická strana,ODS,1,1,45.4480542663335,50.17,59.7048673092943,1,1
1,2007,2101,Benešov,38.19,53,Občanská demokratická strana,ODS,1,1,45.4480542663335,50.17,59.7048673092943,1,0
2,2008,2101,Benešov,38.19,53,Občanská demokratická strana,ODS,1,1,45.4480542663335,50.17,59.7048673092943,1,0
3,2009,2101,Benešov,38.19,53,Občanská demokratická strana,ODS,1,1,45.4480542663335,50.17,59.7048673092943,1,0
4,2006,2102,Beroun,43.32,53,Občanská demokratická strana,ODS,1,1,52.5090909090909,53.23,64.5212121212121,1,1
5,2007,2102,Beroun,43.32,53,Občanská demokratická strana,ODS,1,1,52.5090909090909,53.23,64.5212121212121,1,0
6,2008,2102,Beroun,43.32,53,Občanská demokratická strana,ODS,1,1,52.5090909090909,53.23,64.5212121212121,1,0
7,2009,2102,Beroun,43.32,53,Občanská demokratická strana,ODS,1,1,52.5090909090909,53.23,64.5212121212121,1,0
8,2006,2103,Brandýs nad Labem-Stará Boleslav,46.05,53,Občanská demokratická strana,ODS,1,1,56.2683284457478,56.64,69.208211143695,1,1
9,2007,2103,Brandýs nad Labem-Stará Boleslav,46.05,53,Občanská demokratická strana,ODS,1,1,56.2683284457478,56.64,69.208211143695,1,0
10,2008,2103,Brandýs nad Labem-Stará Boleslav,46.05,53,Občanská demokratická strana,ODS,1,1,56.2683284457478,56.64,69.208211143695,1,0
11,2009,2103,Brandýs nad Labem-Stará Boleslav,46.05,53,Občanská demokratická strana,ODS,1,1,56.2683284457478,56.64,69.208211143695,1,0
12,2006,2104,Čáslav,42.78,7,Česká strana sociálně demokratická,ČSSD,0,0,52.6523076923077,38.47,47.3476923076923,0,1
13,2007,2104,Čáslav,42.78,7,Česká strana sociálně demokratická,ČSSD,0,0,52.6523076923077,38.47,47.3476923076923,0,0
14,2008,2104,Čáslav,42.78,7,Česká strana sociálně demokratická,ČSSD,0,0,52.6523076923077,38.47,47.3476923076923,0,0
15,2009,2104,Čáslav,42.78,7,Česká strana sociálně demokratická,ČSSD,0,0,52.6523076923077,38.47,47.3476923076923,0,0
16,2006,2105,Černošice,54.82,53,Občanská demokratická strana,ODS,1,1,61.5263748597082,71.87,80.662177328844,1,1
17,2007,2105,Černošice,54.82,53,Občanská demokratická strana,ODS,1,1,61.5263748597082,71.87,80.662177328844,1,0
18,2008,2105,Černošice,54.82,53,Občanská demokratická strana,ODS,1,1,61.5263748597082,71.87,80.662177328844,1,0
19,2009,2105,Černošice,54.82,53,Občanská demokratická strana,ODS,1,1,61.5263748597082,71.87,80.662177328844,1,0
20,2006,2106,Český Brod,45.6,53,Občanská demokratická strana,ODS,1,1,54.4347618479169,57.47,68.6045123552584,1,1
21,2007,2106,Český Brod,45.6,53,Občanská demokratická strana,ODS,1,1,54.4347618479169,57.47,68.6045123552584,1,0
22,2008,2106,Český Brod,45.6,53,Občanská demokratická strana,ODS,1,1,54.4347618479169,57.47,68.6045123552584,1,0
23,2009,2106,Český Brod,45.6,53,Občanská demokratická strana,ODS,1,1,54.4347618479169,57.47,68.6045123552584,1,0
24,2006,2107,Dobříš,40.66,53,Občanská demokratická strana,ODS,1,1,49.7552618697993,52.02,63.6563876651982,1,1
25,2007,2107,Dobříš,40.66,53,Občanská demokratická strana,ODS,1,1,49.7552618697993,52.02,63.6563876651982,1,0
26,2008,2107,Dobříš,40.66,53,Občanská demokratická strana,ODS,1,1,49.7552618697993,52.02,63.6563876651982,1,0
27,2009,2107,Dobříš,40.66,53,Občanská demokratická strana,ODS,1,1,49.7552618697993,52.02,63.6563876651982,1,0
28,2006,2108,Hořovice,37.88,53,Občanská demokratická strana,ODS,1,1,46.2233068944478,48.85,59.6095179987798,1,1
29,2007,2108,Hořovice,37.88,53,Občanská demokratická strana,ODS,1,1,46.2233068944478,48.85,59.6095179987798,1,0
30,2008,2108,Hořovice,37.88,53,Občanská demokratická strana,ODS,1,1,46.2233068944478,48.85,59.6095179987798,1,0
31,2009,2108,Hořovice,37.88,53,Občanská demokratická strana,ODS,1,1,46.2233068944478,48.85,59.6095179987798,1,0
32,2006,2109,Kladno,38.16,53,Občanská demokratická strana,ODS,1,1,48.1028614647674,47.63,60.0403378293206,1,1
33,2007,2109,Kladno,38.16,53,Občanská demokratická strana,ODS,1,1,48.1028614647674,47.63,60.0403378293206,1,0
34,2008,2109,Kladno,38.16,53,Občanská demokratická strana,ODS,1,1,48.1028614647674,47.63,60.0403378293206,1,0
35,2009,2109,Kladno,38.16,53,Občanská demokratická strana,ODS,1,1,48.1028614647674,47.63,60.0403378293206,1,0
36,2006,2110,Kolín,38.49,53,Občanská demokratická strana,ODS,1,1,47.4833456698742,47.79,58.9563286454478,1,1
37,2007,2110,Kolín,38.49,53,Občanská demokratická strana,ODS,1,1,47.4833456698742,47.79,58.9563286454478,1,0
38,2008,2110,Kolín,38.49,53,Občanská demokratická strana,ODS,1,1,47.4833456698742,47.79,58.9563286454478,1,0
39,2009,2110,Kolín,38.49,53,Občanská demokratická strana,ODS,1,1,47.4833456698742,47.79,58.9563286454478,1,0
40,2006,2111,Kralupy nad Vltavou,40.33,53,Občanská demokratická strana,ODS,1,1,49.2550073277968,50.99,62.2740595994138,1,1
41,2007,2111,Kralupy nad Vltavou,40.33,53,Občanská demokratická strana,ODS,1,1,49.2550073277968,50.99,62.2740595994138,1,0
42,2008,2111,Kralupy nad Vltavou,40.33,53,Občanská demokratická strana,ODS,1,1,49.2550073277968,50.99,62.2740595994138,1,0
43,2009,2111,Kralupy nad Vltavou,40.33,53,Občanská demokratická strana,ODS,1,1,49.2550073277968,50.99,62.2740595994138,1,0
44,2006,2112,Kutná Hora,39.72,53,Občanská demokratická strana,ODS,1,1,47.6773496579042,51.57,61.9013323730645,1,1
45,2007,2112,Kutná Hora,39.72,53,Občanská demokratická strana,ODS,1,1,47.6773496579042,51.57,61.9013323730645,1,0
46,2008,2112,Kutná Hora,39.72,53,Občanská demokratická strana,ODS,1,1,47.6773496579042,51.57,61.9013323730645,1,0
47,2009,2112,Kutná Hora,39.72,53,Občanská demokratická strana,ODS,1,1,47.6773496579042,51.57,61.9013323730645,1,0
48,2006,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,1
49,2007,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,0
50,2008,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,0
51,2009,2113,Lysá nad Labem,42.85,53,Občanská demokratická strana,ODS,1,1,52.5960476248926,54.92,67.4113170492206,1,0
52,2006,2114,Mělník,41.27,53,Občanská demokratická strana,ODS,1,1,50.6691221608349,51.56,63.3026396562308,1,1
