"year","ID_municipality","Grant_amount_total_CZK","Grant_amount_EU_CZK"
2008,"00075370",29277806.15,24886134.75
2008,"00081531",326598850.61,277609023.02
2008,"00231401",31766334.78,27001384.5
2008,"00232947",96114699.69,81697494.69
2008,"00233129",1038572,882786
2008,"00234516",34383433,29225917.4
2008,"00234877",1100000,935000
2008,"00235440",1080000,918000
2008,"00236195",89694547.77,76240365.55
2008,"00237051",92506562.82,78630578.38
2008,"00238309",6640710.95,5644603.68
2008,"00239402",1543631,1312086.35
2008,"00239500",1094800,930580
2008,"00239640",28305568.16,24059757.6
2008,"00240702",44492,44492
2008,"00241121",1081965,919670
2008,"00242098",1100000,935000
2008,"00243132",61947531.96,52655402.12
2008,"00243272",1083971,921375
2008,"00244309",1100000,935000
2008,"00244732",28536807.12,14627065.65
2008,"00245551",6544179.99,5562552.99
2008,"00245585",55667113.96,47317045.97
2008,"00245836",916300,778855
2008,"00245941",31611040.92,26869373.61
2008,"00246476",38619257.17,32826368.58
2008,"00246875",6233399,5298388.98
2008,"00247618",59858118.05,50879400.34
2008,"00248266",22344736,16332024.51
2008,"00248789",1074332,913182
2008,"00248801",19936400,16945940
2008,"00249831",880600,748510
2008,"00249998",30923661.16,26285110.6
2008,"00250627",1100000,935000
2008,"00250805",4871806.22,4141035.19
2008,"00250996",13020284,11067241.12
2008,"00251810",39528807.44,33599486.36
2008,"00251984",5518844.56,4691017.67
2008,"00252921",63345367,53843561.51
2008,"00253014",54207312.67,46076205.56
2008,"00253316",85349926.94,52120185.57
2008,"00253383",2958539.35,2514758.43
2008,"00253901",123226540.5,104742558.57
2008,"00253979",127354833.94,108251608.84
2008,"00254061",10298767,8753951.1
2008,"00254657",23352615,19849713
2008,"00254843",133545179.52,113513402.06
2008,"00255513",5829637,4955191.45
2008,"00255661",11432987,9718038.95
2008,"00256129",32803782.22,27883214.81
2008,"00256455",11692294,9938449.68
2008,"00256986",15258526.99,12969747.93
2008,"00257265",1013880,861798
2008,"00257966",22166096,18841181.6
2008,"00258199",23588061.3,20049851.74
2008,"00259047",1100000,935000
2008,"00259438",773500,657475
2008,"00259586",135180970.1,114903824.01
2008,"00260177",6397936.32,5438246.07
2008,"00260231",35631787.97,30287018.57
2008,"00260428",1100000,935000
2008,"00260771",464100,394485
2008,"00261238",674821,573598
2008,"00261602",610648,519051
2008,"00261718",3624003.5,3080402.18
2008,"00261891",565250,480462
2008,"00261912",257514931.32,168463093.15
2008,"00262340",31250424.72,26029195.44
2008,"00262587",395080,335818
2008,"00262633",1100000,935000
2008,"00262781",1100000,935000
2008,"00262978",69319453.72,58921534.44
2008,"00263958",379533002.68,322603051.89
2008,"00263991",1100000,935000
2008,"00264334",100201214.02,84361764.15
2008,"00265209",40731964.81,34622170.08
2008,"00265365",936530,796050
2008,"00265781",228416558.3,194154074.53
2008,"00266027",64560204.87,54876174.13
2008,"00266094",748450,636182
2008,"00266230",393652,334604
2008,"00267449",46771171.69,30310696.58
2008,"00268321",35200000,29920000
2008,"00268810",10629674,9035222.9
2008,"00269247",956760,813246
2008,"00270059",5536730,4706220.5
2008,"00270211",372060865.7,311864412.39
2008,"00271560",1100000,935000
2008,"00271632",1100000,935000
2008,"00271888",13790335.5,11721785.1
2008,"00272523",804440,683774
2008,"00272728",119404823.92,93395897.7
2008,"00272876",96534947.73,82054705.52
2008,"00273571",1099560,934626
2008,"00274046",4908111,4171894.34
2008,"00274101",42269645.42,33954017.94
2008,"00274879",1040000,884000
2008,"00275336",174815063.04,148592802.97
2008,"00275808",38186636.91,32330131.55
2008,"00276111",541450,460232
2008,"00276227",1100000,935000
2008,"00276944",1100000,935000
2008,"00277037",107318912.14,91203125.97
2008,"00277177",24410583.65,20748995.71
2008,"00277444",1100000,935000
2008,"00277819",91672518.8,77921640.98
2008,"00278360",456108983.56,169268120.2
2008,"00278475",1100000,935000
2008,"00278653",192237174.28,132089197.89
2008,"00279072",396270,336829
2008,"00279102",1100000,935000
2008,"00279676",28379823.67,11028534.74
2008,"00279773",56977175.84,48430598.73
2008,"00279846",13540330.6,8605572.42
2008,"00279943",7396509.94,5204222.1
2008,"00279978",51007344.79,33035403.84
2008,"00281859",3564711.68,2484888.23
2008,"00281964",571200,485520
2008,"00282481",999600,849660
2008,"00282651",1100000,935000
2008,"00282707",1100000,935000
2008,"00282979",592620,503727
2008,"00283061",1100000,935000
2008,"00283193",1763084.66,1498621.95
2008,"00283347",39681998.01,27725827.22
2008,"00283509",749700,637245
2008,"00283924",905320,769522
2008,"00284165",31446573,25281886.99
2008,"00284301",549359,466955
2008,"00284611",485704,412848
2008,"00284653",425700,361845
2008,"00284891",84939008,54090120.68
2008,"00285030",22147432.8,15414931.74
2008,"00285455",1100000,935000
2008,"00286010",34399382.39,29239475.01
2008,"00286745",34147592.15,26627712.88
2008,"00287113",17491092.22,14867427.92
2008,"00287172",461563,392329
2008,"00287351",74099430.49,62984514.09
2008,"00288365",856800,728280
2008,"00288659",41900759.7,35615643.07
2008,"00289931",24556123,16021977.32
2008,"00289965",1100000,935000
2008,"00290629",6580586.94,4374539.27
2008,"00291463",3001939.9,2551649.36
2008,"00291471",887339,754238
2008,"00291676",2998665,2548865.24
2008,"00292311",44590946.95,36461572.44
2008,"00292427",22580508.8,14751263.26
2008,"00293881",65974340.92,42662176.07
2008,"00294136",108851517.16,72457736.11
2008,"00294900",4874101,4142985.85
2008,"00295671",999600,849660
2008,"00295841",925302,786506
2008,"00295892",137592296.12,50971989.9
2008,"00296139",27500000,23375000
2008,"00296317",22008319.8,18707070.81
2008,"00296643",15729500.74,13370075.57
2008,"00296651",735000,624750
2008,"00296759",1100000,935000
2008,"00297313",7553100.12,6420133.63
2008,"00297437",4763970,4049374
2008,"00297488",997100,847535
2008,"00297534",1100000,935000
2008,"00297569",815150,692877
2008,"00297577",940100,799085
2008,"00297755",27794740.69,23625529.58
2008,"00297852",1100000,935000
2008,"00298212",585956,498062
2008,"00298221",7161054,6086895.9
2008,"00299138",853230,725245
2008,"00299308",1100000,935000
2008,"00299529",25642627,21796232.54
2008,"00299634",14778704,12561898.24
2008,"00300063",652285,554442
2008,"00300292",1031730,876970
2008,"00300535",13135998.39,11165598.61
2008,"00300870",797300,677705
2008,"00301311",1100000,935000
2008,"00301493",4185160,3557385.95
2008,"00301825",4114387.85,3497229.67
2008,"00302724",1100000,935000
2008,"00303038",624750,531037
2008,"00303461",1100000,935000
2008,"00303640",845000,718250
2008,"00304271",600809,517200
2008,"00304387",72368725.56,58319192.36
2008,"00304450",786301,668355
2008,"00845451",32487000,27613950
2008,"44992785",51674452,43871955.18
2009,"00075370",325087129.47,255282430.21
2009,"00081531",123267173.84,104784433.71
2009,"00231401",41230,41230
2009,"00232947",84023775.36,71425045.6
2009,"00232963",20269509.7,17229082.89
2009,"00233129",42808167.44,36393822.04
2009,"00233242",4803579.86,4090725.55
2009,"00234516",72406499.92,61552481.96
2009,"00234877",2030472.25,1734640.21
2009,"00235440",45770850,38910439.01
2009,"00236021",48907,48907
2009,"00236195",1765949.01,1507976.45
2009,"00236977",5005606.7,4259255.94
2009,"00237051",30837911.11,16749921.74
2009,"00237108",25159190.51,21224087.92
2009,"00238295",845476.75,718655.07
2009,"00239402",27456844,23347056.13
2009,"00239500",58259,58259
2009,"00239640",41282365.66,35090009.81
2009,"00240079",277884012.72,236201410.8
2009,"00241121",3553364,3028970.59
2009,"00242098",58258,58258
2009,"00243132",14989078,12744308.78
2009,"00243272",16237599.49,13810697.85
2009,"00244732",170733770.62,145129223.8
2009,"00245551",9148861,7783710.57
2009,"00245585",16510552.37,14033969.5
2009,"00245836",28019983.42,23825595.74
2009,"00245941",870283.41,750313.94
2009,"00246476",5200014.4,4427475.95
2009,"00246875",305214442.7,225579844.74
2009,"00247618",794085,674971
2009,"00248266",44454,44454
2009,"00248789",58271566.5,38535377.66
2009,"00248801",7720309.2,5697217.82
2009,"00249831",37999074.39,32307823.49
2009,"00249998",54747051.38,46540577.25
2009,"00250627",49734661.32,42283200.71
2009,"00250805",27950764.91,23546216.08
2009,"00250996",5198850.8,4427762.03
2009,"00251810",67122213.28,56994816.59
2009,"00251984",580074,501787.35
2009,"00253014",204791135.43,157971170.23
2009,"00253316",13559484.25,11530511.26
2009,"00253383",32715,32715
2009,"00253901",14404113.95,12250833.13
2009,"00253979",93216078.96,79239380.3
2009,"00254061",45145,45145
2009,"00254657",43248,43248
2009,"00254843",2536655.7,2161097.29
2009,"00255513",7769007.5,6611352.65
2009,"00255661",744981.86,633234.58
2009,"00256129",52908533.05,44980265.01
2009,"00256455",44068318.6,37466126.99
2009,"00256986",26687456.7,22689145.79
2009,"00257125",8707996.7,7407677.94
2009,"00257265",48909,48909
2009,"00257966",1227039,1050319.5
2009,"00258199",35169,35169
2009,"00259047",38511324.75,32740483.85
2009,"00259438",21167674,17999590.65
2009,"00259586",93825277.39,79756593.75
2009,"00260177",29896,29896
2009,"00260231",3987358,3393185.18
2009,"00260428",12954972.89,11015753.62
2009,"00260771",47918,47918
2009,"00261238",167861419.88,142690945.67
2009,"00261602",3924074.29,3342798.91
2009,"00261718",17632596.5,14996445.85
2009,"00261891",756381814.03,364271142.78
2009,"00261912",22230241,18903168.7
2009,"00262340",89905689.36,76423845.43
2009,"00262587",32717179.01,27809600.59
2009,"00262633",34510,34510
2009,"00262781",49994233.32,42503836.31
2009,"00262978",6982771,5944077.49
2009,"00263958",23411762,19902312.04
2009,"00263991",8363454.2,7116272.36
2009,"00264334",58259,58259
2009,"00265209",16718821,14217253.97
2009,"00265365",79837,79837
2009,"00265781",10628668.7,9041704.72
2009,"00266027",45191175.37,38164497.58
2009,"00266094",27770458.27,23604889.46
2009,"00266230",32216514,27390259.64
2009,"00267449",68537923.18,38922969.11
2009,"00267538",1239755,1061255
2009,"00268321",90946365.41,55872098.57
2009,"00268810",19107,19107
2009,"00269247",59844603.46,50876651.75
2009,"00270059",141676253.78,59066646.67
2009,"00270211",90572242.51,62490290.79
2009,"00271560",96340240.66,81892108.34
2009,"00271632",111717653.71,80943456.54
2009,"00271888",9272749,7888592.89
2009,"00272523",1705632.22,1455877.07
2009,"00272728",4749101.24,4036735.46
2009,"00272868",36481664.92,31012844.29
2009,"00272876",29806870.94,25339560.17
2009,"00273571",30648,30648
2009,"00274046",128580666.92,109298837.25
2009,"00274101",20277491.97,17217809.59
2009,"00274879",44805,44805
2009,"00274968",1017739,871369
2009,"00275336",55934,55934
2009,"00275808",38738,38738
2009,"00276111",87425100.01,56558284.71
2009,"00276227",85216324.11,72442609.78
2009,"00276944",111908567.19,51444786.48
2009,"00277037",40571120.98,26101441.97
2009,"00277177",34554002.34,28987689.11
2009,"00277444",110464660.66,52396940.5
2009,"00277819",47184,47184
2009,"00278360",932732,797358.65
2009,"00278475",29041385.31,24685177.5
2009,"00278653",40553,40553
2009,"00279072",75940835.02,64558448.09
2009,"00279102",31741989.59,26989429.84
2009,"00279676",54701948.51,31824540.47
2009,"00279773",55280889.58,45449436.73
2009,"00279846",11906322.42,8703202.25
2009,"00279943",18860009.96,13616738.32
2009,"00279978",57740596,49084702.6
2009,"00281859",31437,31437
2009,"00281964",160838227.23,67465425.7
2009,"00282481",24602405.28,15092074.47
2009,"00282651",42296692.04,27230374.21
2009,"00282707",43631,43631
2009,"00282979",3305512.68,2817021.7
2009,"00283061",44810304.33,29725628.85
2009,"00283193",58259,58259
2009,"00283347",48439,48439
2009,"00283509",19471624.29,13113497.63
2009,"00283924",66647626.7,56208727.93
2009,"00284165",123091103.02,84802349.78
2009,"00284301",141508820.56,115093999.26
2009,"00284611",43485,43485
2009,"00284653",7526089.2,6404511.97
2009,"00284891",827678.52,708067.84
2009,"00285030",26947147.12,21487287.92
2009,"00285455",140135308.67,106935342.74
2009,"00286010",192761293.55,163847098.75
2009,"00286745",160554072.78,109599518.13
2009,"00287113",48909,48909
2009,"00287172",48909,48909
2009,"00287351",42111524.26,31370937.25
2009,"00288365",47316,47316
2009,"00288659",101727193.8,69399074.44
2009,"00289931",12035324.4,10237229.18
2009,"00289965",714229.07,615739.89
2009,"00290629",86440497.51,64836005.96
2009,"00291463",60725476.43,49604452.61
2009,"00291471",75437519.89,62945786.71
2009,"00291676",51889,51889
2009,"00292311",16315774.98,13877020.06
2009,"00292427",34360,34360
2009,"00293199",43494,43494
2009,"00293881",16316961.4,10516559.45
2009,"00294136",38515216.37,32746672.23
2009,"00294900",21492726.6,14242614.22
2009,"00295671",8902922.71,6264352.66
2009,"00295841",21732636.38,16380969.19
2009,"00295892",2011285.12,1716168.38
2009,"00296139",1524909,1303509
2009,"00296317",37415814.59,31812179.67
2009,"00296643",146435834.79,124479196.83
2009,"00296651",15936863.52,13546333.38
2009,"00296759",41301987.85,35112500.07
2009,"00297313",31376269.3,26677406.12
2009,"00297437",132865421.65,112939795.72
