"","year","IČ.žadatele","Proplacené.prostředky.příjemcům...vyúčtované..veřejné.prostředky.celkem.","Proplacené.prostředky.příjemcům...vyúčtované..EU.zdroje."
"1","2008","00075370",29277806.15,24886134.75
"2","2008","00081531",326598850.61,277609023.02
"3","2008","00231401",31766334.78,27001384.5
"4","2008","00232947",96114699.69,81697494.69
"5","2008","00233129",1038572,882786
"6","2008","00234516",34383433,29225917.4
"7","2008","00234877",1100000,935000
"8","2008","00235440",1080000,918000
"9","2008","00236195",89694547.77,76240365.55
"10","2008","00237051",92506562.82,78630578.38
"11","2008","00238309",6640710.95,5644603.68
"12","2008","00239402",1543631,1312086.35
"13","2008","00239500",1094800,930580
"14","2008","00239640",28305568.16,24059757.6
"15","2008","00240702",44492,44492
"16","2008","00241121",1081965,919670
"17","2008","00242098",1100000,935000
"18","2008","00243132",61947531.96,52655402.12
"19","2008","00243272",1083971,921375
"20","2008","00244309",1100000,935000
"21","2008","00244732",28536807.12,14627065.65
"22","2008","00245551",6544179.99,5562552.99
"23","2008","00245585",55667113.96,47317045.97
"24","2008","00245836",916300,778855
"25","2008","00245941",31611040.92,26869373.61
"26","2008","00246476",38619257.17,32826368.58
"27","2008","00246875",6233399,5298388.98
"28","2008","00247618",59858118.05,50879400.34
"29","2008","00248266",22344736,16332024.51
"30","2008","00248789",1074332,913182
"31","2008","00248801",19936400,16945940
"32","2008","00249831",880600,748510
"33","2008","00249998",30923661.16,26285110.6
"34","2008","00250627",1100000,935000
"35","2008","00250805",4871806.22,4141035.19
"36","2008","00250996",13020284,11067241.12
"37","2008","00251810",39528807.44,33599486.36
"38","2008","00251984",5518844.56,4691017.67
"39","2008","00252921",63345367,53843561.51
"40","2008","00253014",54207312.67,46076205.56
"41","2008","00253316",85349926.94,52120185.57
"42","2008","00253383",2958539.35,2514758.43
"43","2008","00253901",123226540.5,104742558.57
"44","2008","00253979",127354833.94,108251608.84
"45","2008","00254061",10298767,8753951.1
"46","2008","00254657",23352615,19849713
"47","2008","00254843",133545179.52,113513402.06
"48","2008","00255513",5829637,4955191.45
"49","2008","00255661",11432987,9718038.95
"50","2008","00256129",32803782.22,27883214.81
"51","2008","00256455",11692294,9938449.68
"52","2008","00256986",15258526.99,12969747.93
"53","2008","00257265",1013880,861798
"54","2008","00257966",22166096,18841181.6
"55","2008","00258199",23588061.3,20049851.74
"56","2008","00259047",1100000,935000
"57","2008","00259438",773500,657475
"58","2008","00259586",135180970.1,114903824.01
"59","2008","00260177",6397936.32,5438246.07
"60","2008","00260231",35631787.97,30287018.57
"61","2008","00260428",1100000,935000
"62","2008","00260771",464100,394485
"63","2008","00261238",674821,573598
"64","2008","00261602",610648,519051
"65","2008","00261718",3624003.5,3080402.18
"66","2008","00261891",565250,480462
"67","2008","00261912",257514931.32,168463093.15
"68","2008","00262340",31250424.72,26029195.44
"69","2008","00262587",395080,335818
"70","2008","00262633",1100000,935000
"71","2008","00262781",1100000,935000
"72","2008","00262978",69319453.72,58921534.44
"73","2008","00263958",379533002.68,322603051.89
"74","2008","00263991",1100000,935000
"75","2008","00264334",100201214.02,84361764.15
"76","2008","00265209",40731964.81,34622170.08
"77","2008","00265365",936530,796050
"78","2008","00265781",228416558.3,194154074.53
"79","2008","00266027",64560204.87,54876174.13
"80","2008","00266094",748450,636182
"81","2008","00266230",393652,334604
"82","2008","00267449",46771171.69,30310696.58
"83","2008","00268321",35200000,29920000
"84","2008","00268810",10629674,9035222.9
"85","2008","00269247",956760,813246
"86","2008","00270059",5536730,4706220.5
"87","2008","00270211",372060865.7,311864412.39
"88","2008","00271560",1100000,935000
"89","2008","00271632",1100000,935000
"90","2008","00271888",13790335.5,11721785.1
"91","2008","00272523",804440,683774
"92","2008","00272728",119404823.92,93395897.7
"93","2008","00272876",96534947.73,82054705.52
"94","2008","00273571",1099560,934626
"95","2008","00274046",4908111,4171894.34
"96","2008","00274101",42269645.42,33954017.94
"97","2008","00274879",1040000,884000
"98","2008","00275336",174815063.04,148592802.97
"99","2008","00275808",38186636.91,32330131.55
"100","2008","00276111",541450,460232
"101","2008","00276227",1100000,935000
"102","2008","00276944",1100000,935000
"103","2008","00277037",107318912.14,91203125.97
"104","2008","00277177",24410583.65,20748995.71
"105","2008","00277444",1100000,935000
"106","2008","00277819",91672518.8,77921640.98
"107","2008","00278360",456108983.56,169268120.2
"108","2008","00278475",1100000,935000
"109","2008","00278653",192237174.28,132089197.89
"110","2008","00279072",396270,336829
"111","2008","00279102",1100000,935000
"112","2008","00279676",28379823.67,11028534.74
"113","2008","00279773",56977175.84,48430598.73
"114","2008","00279846",13540330.6,8605572.42
"115","2008","00279943",7396509.94,5204222.1
"116","2008","00279978",51007344.79,33035403.84
"117","2008","00281859",3564711.68,2484888.23
"118","2008","00281964",571200,485520
"119","2008","00282481",999600,849660
"120","2008","00282651",1100000,935000
"121","2008","00282707",1100000,935000
"122","2008","00282979",592620,503727
"123","2008","00283061",1100000,935000
"124","2008","00283193",1763084.66,1498621.95
"125","2008","00283347",39681998.01,27725827.22
"126","2008","00283509",749700,637245
"127","2008","00283924",905320,769522
"128","2008","00284165",31446573,25281886.99
"129","2008","00284301",549359,466955
"130","2008","00284611",485704,412848
"131","2008","00284653",425700,361845
"132","2008","00284891",84939008,54090120.68
"133","2008","00285030",22147432.8,15414931.74
"134","2008","00285455",1100000,935000
"135","2008","00286010",34399382.39,29239475.01
"136","2008","00286745",34147592.15,26627712.88
"137","2008","00287113",17491092.22,14867427.92
"138","2008","00287172",461563,392329
"139","2008","00287351",74099430.49,62984514.09
"140","2008","00288365",856800,728280
"141","2008","00288659",41900759.7,35615643.07
"142","2008","00289931",24556123,16021977.32
"143","2008","00289965",1100000,935000
"144","2008","00290629",6580586.94,4374539.27
"145","2008","00291463",3001939.9,2551649.36
"146","2008","00291471",887339,754238
"147","2008","00291676",2998665,2548865.24
"148","2008","00292311",44590946.95,36461572.44
"149","2008","00292427",22580508.8,14751263.26
"150","2008","00293881",65974340.92,42662176.07
"151","2008","00294136",108851517.16,72457736.11
"152","2008","00294900",4874101,4142985.85
"153","2008","00295671",999600,849660
"154","2008","00295841",925302,786506
"155","2008","00295892",137592296.12,50971989.9
"156","2008","00296139",27500000,23375000
"157","2008","00296317",22008319.8,18707070.81
"158","2008","00296643",15729500.74,13370075.57
"159","2008","00296651",735000,624750
"160","2008","00296759",1100000,935000
"161","2008","00297313",7553100.12,6420133.63
"162","2008","00297437",4763970,4049374
"163","2008","00297488",997100,847535
"164","2008","00297534",1100000,935000
"165","2008","00297569",815150,692877
"166","2008","00297577",940100,799085
"167","2008","00297755",27794740.69,23625529.58
"168","2008","00297852",1100000,935000
"169","2008","00298212",585956,498062
"170","2008","00298221",7161054,6086895.9
"171","2008","00299138",853230,725245
"172","2008","00299308",1100000,935000
"173","2008","00299529",25642627,21796232.54
"174","2008","00299634",14778704,12561898.24
"175","2008","00300063",652285,554442
"176","2008","00300292",1031730,876970
"177","2008","00300535",13135998.39,11165598.61
"178","2008","00300870",797300,677705
"179","2008","00301311",1100000,935000
"180","2008","00301493",4185160,3557385.95
"181","2008","00301825",4114387.85,3497229.67
"182","2008","00302724",1100000,935000
"183","2008","00303038",624750,531037
"184","2008","00303461",1100000,935000
"185","2008","00303640",845000,718250
"186","2008","00304271",600809,517200
"187","2008","00304387",72368725.56,58319192.36
"188","2008","00304450",786301,668355
"189","2008","00845451",32487000,27613950
"190","2008","44992785",51674452,43871955.18
"191","2009","00075370",325087129.47,255282430.21
"192","2009","00081531",123267173.84,104784433.71
"193","2009","00231401",41230,41230
"194","2009","00232947",84023775.36,71425045.6
"195","2009","00232963",20269509.7,17229082.89
"196","2009","00233129",42808167.44,36393822.04
"197","2009","00233242",4803579.86,4090725.55
"198","2009","00234516",72406499.92,61552481.96
"199","2009","00234877",2030472.25,1734640.21
"200","2009","00235440",45770850,38910439.01
"201","2009","00236021",48907,48907
"202","2009","00236195",1765949.01,1507976.45
"203","2009","00236977",5005606.7,4259255.94
"204","2009","00237051",30837911.11,16749921.74
