"","year","Identification.number.of.the.beneficiary","Total.eligible.expenditures.charged.in.payment.applications","Expenditures.charged.in.payment.application...Union.support"
"1","2016","00075370",9106003.3,7740102.79
"2","2016","00081531",29403631.25,24993086.5
"3","2016","00232947",3407571.42,2896435.7
"4","2016","00234516",2993524.79,2544496.06
"5","2016","00234877",4848563.75,4121279.16
"6","2016","00235334",5795182.05,4925904.72
"7","2016","00235440",14230902.06,4269270.61
"8","2016","00236195",99805859.82,84834980.81
"9","2016","00236977",2906784.56,2470766.83
"10","2016","00237051",7356800,6253280
"11","2016","00237108",7999055.21,6799196.92
"12","2016","00238309",16321034.08,13872878.96
"13","2016","00239500",500921.85,425783.57
"14","2016","00240079",11419240,9706354
"15","2016","00240702",3154415.35,2681253.04
"16","2016","00241121",7747630,6585485.5
"17","2016","00242098",21669444.06,18419027.45
"18","2016","00243132",20721509.56,17613283.09
"19","2016","00243272",1042196.96,885867.41
"20","2016","00244309",7250693.77,6163089.7
"21","2016","00245836",3027587.6,2573449.43
"22","2016","00247618",15288813,12995491.04
"23","2016","00248266",2928364.74,2489110.02
"24","2016","00248801",3850482.3,3272909.95
"25","2016","00249831",2323353.18,1974850.2
"26","2016","00250996",1459865,1240885.25
"27","2016","00253014",46316585.98,28262804.98
"28","2016","00253979",3743720.4,3182162.34
"29","2016","00254061",279125,237256.25
"30","2016","00255661",13510953.59,11484310.55
"31","2016","00256129",2538746.17,2157934.24
"32","2016","00256986",10596402.04,9006941.73
"33","2016","00260428",10601631.19,9011386.5
"34","2016","00261602",7285283.68,6192491.12
"35","2016","00261718",5837160.99,4961586.82
"36","2016","00261891",16901059.97,14365900.97
"37","2016","00261912",13364408.73,11359747.36
"38","2016","00262978",34111149.74,28994477.25
"39","2016","00263958",7229145,6144773.25
"40","2016","00264334",1310619.91,1114026.9
"41","2016","00265781",13646376.51,11599420.03
"42","2016","00266027",15325865.73,13026985.85
"43","2016","00266094",12608009,10716807.63
"44","2016","00266230",6082819.15,5170396.27
"45","2016","00267449",15798275.39,13428534.07
"46","2016","00267538",5670689.8,4820086.33
"47","2016","00268810",13988081.92,11889869.61
"48","2016","00269247",3617863.75,3075184.15
"49","2016","00270211",4593343.43,3904341.9
"50","2016","00271632",7879157,6697283.45
"51","2016","00271888",336060,285651
"52","2016","00272523",582801.78,495381.49
"53","2016","00272868",1134375,964218.75
"54","2016","00274046",19891245.8,16907558.92
"55","2016","00274101",17992834.61,15293909.41
"56","2016","00274879",7724640,6565944
"57","2016","00274968",114760,97546
"58","2016","00276944",72445847.76,61578970.56
"59","2016","00277177",787520.07,669392.04
"60","2016","00278653",931700,791945
"61","2016","00279072",4657816.11,3959143.65
"62","2016","00279102",1334386.29,1134228.33
"63","2016","00279676",7480072.5,5355160.12
"64","2016","00279846",1184573.43,1006887.4
"65","2016","00279978",21742075.65,18480764.29
"66","2016","00281859",2857555.4,2428922.09
"67","2016","00282481",18203572.67,15473036.76
