"year","ico","Grant_amount_total_CZK","Grant_amount_EU_CZK","municipality_id","municipality"
"2008","00075370",29277806.15,24886134.75,3209,"Plzeň"
"2008","00081531",326598850.61,277609023.02,4214,"Ústí nad Labem"
"2008","00231401",31766334.78,27001384.5,2101,"Benešov"
"2008","00232947",96114699.69,81697494.69,2125,"Vlašim"
"2008","00233129",1038572,882786,2102,"Beroun"
"2008","00234516",34383433,29225917.4,2109,"Kladno"
"2008","00234877",1100000,935000,2124,"Slaný"
"2008","00235440",1080000,918000,2110,"Kolín"
"2008","00236195",89694547.77,76240365.55,2112,"Kutná Hora"
"2008","00237051",92506562.82,78630578.38,2114,"Mělník"
"2008","00238309",6640710.95,5644603.68,2116,"Mnichovo Hradiště"
"2008","00239402",1543631,1312086.35,2113,"Lysá nad Labem"
"2008","00239500",1094800,930580,2118,"Nymburk"
"2008","00239640",28305568.16,24059757.6,2119,"Poděbrady"
"2008","00240702",44492,44492,2122,"Říčany"
"2008","00241121",1081965,919670,2105,"Černošice"
"2008","00242098",1100000,935000,2107,"Dobříš"
"2008","00243132",61947531.96,52655402.12,2120,"Příbram"
"2008","00243272",1083971,921375,2123,"Sedlčany"
"2008","00244309",1100000,935000,2121,"Rakovník"
"2008","00244732",28536807.12,14627065.65,3102,"České Budějovice"
"2008","00245551",6544179.99,5562552.99,3113,"Trhové Sviny"
"2008","00245585",55667113.96,47317045.97,3115,"Týn nad Vltavou"
"2008","00245836",916300,778855,3103,"Český Krumlov"
"2008","00245941",31611040.92,26869373.61,3106,"Kaplice"
"2008","00246476",38619257.17,32826368.58,3104,"Dačice"
"2008","00246875",6233399,5298388.98,3105,"Jindřichův Hradec"
"2008","00247618",59858118.05,50879400.34,3114,"Třeboň"
"2008","00248266",22344736,16332024.51,6103,"Humpolec"
"2008","00248789",1074332,913182,6109,"Pacov"
"2008","00248801",19936400,16945940,6110,"Pelhřimov"
"2008","00249831",880600,748510,3107,"Milevsko"
"2008","00249998",30923661.16,26285110.6,3108,"Písek"
"2008","00250627",1100000,935000,3109,"Prachatice"
"2008","00250805",4871806.22,4141035.19,3116,"Vimperk"
"2008","00250996",13020284,11067241.12,3101,"Blatná"
"2008","00251810",39528807.44,33599486.36,3111,"Strakonice"
"2008","00251984",5518844.56,4691017.67,3117,"Vodňany"
"2008","00252921",63345367,53843561.51,3110,"Soběslav"
"2008","00253014",54207312.67,46076205.56,3112,"Tábor"
"2008","00253316",85349926.94,52120185.57,3202,"Domažlice"
"2008","00253383",2958539.35,2514758.43,3204,"Horšovský Týn"
