"","Programme","Priority axes name","Registration number of the operation","Operation name","Operation summary","Beneficiary name","Identification number of the beneficiary","Legal status of the beneficiary","Postcode","...10","Operation start date","Expected end date of the operation","Operation end date","...14","Status of the operation","Country","NUTS 3 code","NUTS 3 name","Intervention field - code","Intervention field - name","Fund","Union co-financing rate","Total eligible expenditure allocated to the selected operation","Expeditures allocated to the selected operation - Union support","Expeditures allocated to the selected operation - national public funding","Expeditures allocated to the selected operation - national private funding","Total eligible expenditures charged in payment applications","Expenditures charged in payment application - Union support","...29"
"1","IROP","06.1 Konkurenceschopné, dostupné a bezpečné regiony","CZ.06.1.37/0.0/0.0/16_077/0006261","Strakonice - páteřní cyklostezka","Cílem projektu je vybudování nové cyklostezky v samém centru města Strakonice. Cyklostezka je projektována od mostu Jana Palacha po Blatenský most a bude zajišťovat bezpečnou jízdu na kole z a do zaměstnání/školy/práce obyvatelům města. Realizací projektu dojde k napojení na novou část cyklostezky vedoucí podél břehu řeky Volyňky. Součástí záměru je i pořízení 16 cyklostojanů v přímé návaznosti na cyklostezku.","Město Strakonice","00251810","Obec",38601,2021-03-01,NA,"31.07.2022",NA,NA,"PP30 Projekt s právním aktem o poskytnutí / převodu podpory","Česká republika","CZ031","Jihočeský kraj","II.4.043","Infrastruktura čisté městské dopravy a její propagace (včetně zařízení a kolejových vozidel)","EFRR",0.849999999408354,13521593.28,11493354.28,2028239,0,0,0,"Ne"
"2","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.11/0.0/0.0/16_098/0007569","SNÍŽENÍ ENERGETICKÉ NÁROČNOSTI BD MAYEROVA 783-784, HORAŽĎOVICE","Předmětem projektu je realizace stavebních prací související se zateplením obálky budovy (zateplení obvodových stěn, podlahy půdy a stropu sklepa) a výměně vybraných otvorových výplní za účelem snížení energetické náročnosti budovy a zvýšení uživatelského komfortu a životní úrovně obyvatel domu snížením nákladů na bydlení.","Město Horažďovice","00255513","Obec",34101,2018-05-31,"06.01.2016","31.08.2019","30.08.2019",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ032","Plzeňský kraj","II.1.014","Energeticky účinná renovace stávajícího bytového a domovního fondu, demonstrační projekty a podpůrná opatření","EFRR",0.39999999873422,4740161.49,1896064.59,2844096.9,0,4251225.28,1700490.11,"Ne"
"3","OP ZP","05.5 Energetické úspory","CZ.05.5.18/0.0/0.0/17_070/0006800","Stavební úpravy pro energetické úspory ZŠ 5. května II. stupeň, Liberec","Předmětem předkládaného dílčího projektu jsou stavební úpravy vedoucí ke zlepšení tepelně-izolačních vlastností budov - objektu ZŠ 5. května - II. stupně vedoucí ke snížení energetické náročnosti provozu budovy, snížení konečné spotřeby energií a tím v konečném důsledku ke snížení emisí. Projekt má tedy jednoznačně pozitivní dopad na ŽP. Žadatel má sestavený kvalitní projektový tým, byla zvážena veškerá rizika přípravy i realizace projektu, stavební práce budou realizovány dodavatelsky.","STATUTÁRNÍ MĚSTO LIBEREC","00262978","Obec",46001,2018-04-24,"01.04.2019","30.06.2021",NA,NA,"PP37 Projekt v plné (fyzické i finanční) realizaci","Česká republika","CZ051","Liberecký kraj","II.1.013","Energeticky účinná renovace veřejné infrastruktury, demonstrační projekty a podpůrná opatření","FS",0.499999999703913,16886948.75,8443474.37,8443474.38,0,16886948.75,8443474.37,"Ne"
"4","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004088","Infrastruktura ZŠ v  Rumburku-Zajištění bezbariérovosti celé školy a modernizace učebny fyziky","Předmětem předkládaného projektu je podpora infrastruktury pro základní vzdělávání v Základní škole Rumburk, U nemocnice. Realizovány budou stavební úpravy týkající se učebny fyziky a  bezbariérové dostupnosti prostor celé školy. Dále bude pořízeno vybavení pro zajištění rozvoje žáků v klíčové kompetenci Přírodní vědy. Bude vybudována nová plocha intenzivně osázená zelení.","Město Rumburk","00261602","Obec",40801,2020-03-24,"08.02.2017","31.08.2021","24.08.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.85,5896488,5012014.8,884473.2,0,5896488,5012014.8,"Ne"
"5","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_001/0004429","Územní plán Rumburk","Předmětem projektu je zpracování dokumentace Územního plánu Rumburk v souladu se zákonem č. 183/2006 Sb., o územním plánování a stavebním řádu, v platném znění (dále jen stavební zákon), vyhláškou č. 500/2006 Sb., o územně analytických podkladech, územně plánovací dokumentaci a způsobu evidence územně plánovací činnosti ve znění vyhlášky č. 457/2012 Sb., vyhláškou č. 501/2006 Sb., o obecných požadavcích na využívání území v platném znění s dalšími předpisy. Město Rumburk je ORP.","Město Rumburk","00261602","Obec",40801,2017-08-16,"21.02.2017","31.07.2021","30.06.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,1117435,949819.75,167615.25,0,1024870,871139.5,"Ne"
"6","OP ZP","05.1 Zlepšování kvality vody a snižování rizika povodní","CZ.05.1.30/0.0/0.0/16_042/0004872","Kanalizace Dvorce","Dostavba kanalizace v Dvorcích - místní části Lysé nad Labem.","Město Lysá nad Labem","00239402","Obec",28922,2017-08-02,"20.08.2018","13.02.2020","13.02.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ020","Středočeský kraj","II.2.022","Čištění odpadních vod","FS",0.849999999260954,6088933.57,5175593.53,913340.04,0,6062987.98,5153539.76,"Ne"
"7","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0003846","Vybudování odborných učeben v půdním prostoru Masarykovy ZŠ","Předmětem projektu jsou stavební úpravy půdního prostoru v objektu Masarykovy základní školy v Litoměřicích, a to s ohledem na zvýšení kvality vzdělávání ve vazbě na budoucí uplatnění žáků na trhu práce v klíčových kompetencích komunikace v cizích jazycích, přírodní vědy a technické a řemeslné obory. Součástí projektu je mj. doplnění stávajícího školního arboreta o nové dřeviny, pořízení nezbytného vybavení rekonstruovaných prostor a zajištění bezbariérovosti objektu vybudováním výtahu.","Město Litoměřice","00263958","Obec",41201,2020-03-23,"07.09.2015","30.04.2021","30.04.2021",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ042","Ústecký kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999880004,25000859.38,21250730.47,3750128.91,0,24991785.32,21243017.52,"Ne"
"8","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_063/0004312","Přístavba výtahu a zřízení bezbariérového přístupu ZŠ Smetanova","Přístavba výtahu a rampa pro vozíčkáře umožní bezbariérové užívání staré a nové budovy ZŠ.  Rampa bude navazovat na nedávno vybudovaný hlavní vstup do objektu, ze kterého je chodbou přístupné nádvoří. Konektivitu školy a s tím spojenou přestavbu vnitřní sítě školy je nezbytné řešit z důvodu vzrůstajících nároků uživatelů. Tuto problematiku vyřeší na několik let dopředu celková výměna HW a změna topologie celé sítě. Součástí projektu jsou také aktivity vedoucí k úpravám venkovního prostranství.","Město Chotěboř","00267538","Obec",58301,2020-04-09,"02.01.2017","30.11.2021","09.11.2021",NA,"PP41 Projekt finančně ukončen ze strany ŘO","Česká republika","CZ063","Kraj Vysočina","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999998756222,4824012.96,4100411.01,723601.95,0,4824012.96,4100411.01,"Ne"
"9","IROP","06.2 Zkvalitnění veřejných služeb a podmínek života pro obyvatele regionů","CZ.06.2.67/0.0/0.0/16_062/0003795","Rozšíření výukových prostor ZŠ T.G.Masaryka Blatná","Projekt řeší zřízení nových odborných učeben formou přístavby dvoupodlažního objektu v zadním traktu objektu Základní školy T. G. Masaryka Blatná, okr. Strakonice, příspěvkové organizace. Součástí návrhu je i vnitřní vybavení nových prostor nábytkem, didaktickou a IT technikou. Pro bezbariérové řešení školy je navržena realizace nástupní rampy u přistavěného objektu, bezbariérové sociální zařízení a nákup schodolezu. Standard konektivity je v projektu zajištěn pořízením dodatečných IT zařízení.","Město Blatná","00250996","Obec",38801,2019-05-09,"19.01.2017","31.07.2020","31.07.2020",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ031","Jihočeský kraj","III.0.051","Vzdělávací infrastruktura v oblasti školního vzdělávání (základní a všeobecné středoškolské vzdělávání)","EFRR",0.849999999881448,12652658.39,10754759.63,1897898.76,0,12652658.39,10754759.63,"Ne"
"10","IROP","06.3 Dobrá správa území a zefektivnění veřejných institucí","CZ.06.3.72/0.0/0.0/15_012/0004764","Studie veřejných prostranství města Hořice","Územní studie veřejných prostranství bude zpracována pro celé území města Hořice a centra místních částí Chvalina, Svatogothardská Lhota, Doubrava, Chlum a Dachovy. Cílem územní studie je navrhnout základní koncepci systému veřejných prostranství dle podrobnosti, rozsahu řešení, typu území, charakteru veř. prostranství a rozdílného výchozího stavu.  Územní studie bude vložena do evidence územně plánovací činnosti a stane se tak podkladem pro navazující činnosti.","Město Hořice","00271560","Obec",50801,2017-08-21,"02.03.2017","28.06.2018","28.06.2018",NA,"PP42 Projekt finančně ukončen ze strany MF-PCO","Česká republika","CZ052","Královéhradecký kraj","IV.5.096","Institucionální kapacita veřejné správy a veřejných služeb související s prováděním EFRR nebo činnosti na podporu iniciativ v oblasti institucionální kapacity v rámci ESF","EFRR",0.85,1829520,1555092,274428,0,1798086.62,1528373.62,"Ne"
