"municipality_id","municipality","district_id","distric","NUTS_3_id","NUTS_3","NUTS_2_id","NUTS_2","ico","name","year","population","Rozhodnutí.Smlouva.o.poskytnutí.dotace..celkové.zdroje.","Rozhodnutí.Smlouva.o.poskytnutí.dotace..veřejné.prostředky.celkem.","Rozhodnutí.Smlouva.o.poskytnutí.dotace..EU.zdroje.","Proplacené.prostředky.příjemcům...vyúčtované..veřejné.prostředky.celkem.","Proplacené.prostředky.příjemcům...vyúčtované..EU.zdroje.","Certifikované.prostředky..veřejné.prostředky.celkem.","Certifikované.prostředky..EU.zdroje.","Total.eligible.expenditure.allocated.to.the.selected.operation","Total.eligible.expenditures.charged.in.payment.applications","Expeditures.allocated.to.the.selected.operation...Union.support","Expeditures.allocated.to.the.selected.operation...national.public.funding","Expeditures.allocated.to.the.selected.operation...national.private.funding","Expenditures.charged.in.payment.application...Union.support"
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2008,17879,130446951.28,123227739.5,104743578.57,123226540.5,104742558.57,123226540.5,104742558.57,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2009,17949,18897893.1,14680707.13,12478601.05,14404113.95,12250833.13,14412744.95,12250833.13,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2010,17949,55419470.5,44969513.38,36685219.98,44735104.83,36495606.03,44735104.83,36495606.03,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2011,17592,0,0,0,0,0,0,0,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2012,17612,0,0,0,0,0,0,0,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2013,17622,15112776.91,10881315,9249117.4,10486874,8913842.9,10486874,8913842.9,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2014,17653,88615095.58,59583294.41,50645800.23,48167539.53,40942408.53,48167539.53,40942408.53,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2015,17640,54956292.81,51171945.55,43496153.57,48972760.57,41626846.32,3183888.79,2706305.45,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2016,17688,0,0,0,0,0,0,0,0,0,0,0,0,0
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2017,17643,0,0,0,0,0,0,0,5167994.02,5167874.02,4392794.91,775199.11,0,4392692.91
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2018,17655,0,0,0,0,0,0,0,16825796.38,16822646.38,14322330.71,0,0,14320440.71
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2019,17695,0,0,0,0,0,0,0,7512312.5,6649335.95,6385465.62,0,0,5651935.51
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2020,17611,0,0,0,0,0,0,0,93173275.28,8404485.91,76175977.22,16997298.06,0,7143812.98
4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad",253901,"Město Aš",2021,16871,0,0,0,0,0,0,0,510399.78,510399.78,484879.79,25519.99,0,484879.79
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2008,55582,32141534.78,31861534.78,27082304.56,31766334.78,27001384.5,31766334.78,27001384.5,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2009,56097,68540,68540,58259,41230,41230,48507,41230,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2010,56629,9637793.8,9557793.8,7930518.23,8972507.66,7454528.42,7892351,6536395.26,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2011,57341,6859095,4638495,3776094.25,3899394.42,3161719.42,3055316.38,2444253.1,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2012,57815,18464471.6,13497449,11472831.65,13335418.65,11335105.83,13335418.65,11335105.83,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2013,58165,280263660.2,171002848.06,144708824.39,169052221.71,143069582.08,161588592.58,136725497.38,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2014,58576,104881950.12,91827789.12,77675305.75,90889652.6,76888748.25,35993945.95,30275788.2,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2015,58981,8953532.35,7120726,6052617.1,7090476,6026904.6,7090476,6026904.6,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2016,59365,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2017,59740,0,0,0,0,0,0,0,104495892.45,96624853.4,87432924.81,17062967.64,0,80742541.63
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2018,60380,0,0,0,0,0,0,0,222222222,222222222,188888888.7,33333333.3,0,188888888.7
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2019,61022,0,0,0,0,0,0,0,6027742.4,6027742.4,5123581.04,0,0,5123581.04
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2020,61335,0,0,0,0,0,0,0,9364163.3,6631275.71,8217676.13,1146487.17,0,5832421.99
2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy",231401,"Město Benešov",2021,61122,0,0,0,0,0,0,0,4579125,1052755.11,3892256.25,686868.75,0,894841.82
2102,"Beroun","CZ0202","Beroun","CZ020","Středočeský kraj","CZ02","Střední Čechy",233129,"Město Beroun",2008,54706,1101000,1040000,884000,1038572,882786,1038572,882786,0,0,0,0,0,0
2102,"Beroun","CZ0202","Beroun","CZ020","Středočeský kraj","CZ02","Střední Čechy",233129,"Město Beroun",2009,55428,44456159.55,43411468.07,36899747.84,42808167.44,36393822.04,42816261.64,36393822.04,0,0,0,0,0,0
2102,"Beroun","CZ0202","Beroun","CZ020","Středočeský kraj","CZ02","Střední Čechy",233129,"Město Beroun",2010,56469,123175598.01,120182078.64,94233420.32,119372593.25,93567853.58,117136805.62,91667434.1,0,0,0,0,0,0
2102,"Beroun","CZ0202","Beroun","CZ020","Středočeský kraj","CZ02","Střední Čechy",233129,"Město Beroun",2011,57162,71518031.96,67999067.96,57799203.26,64759256.74,55045359.66,60334923,51284676,0,0,0,0,0,0
