municipality_id,municipality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4101,Aš,17009,17096,17274,17266,17268,17384,17739,17879,17949,17949,17592,17612,17622,17653,17640,17688,17643,17655,17695,17611,16871
2101,Benešov,52716,52982,53180,53216,53516,54116,54893,55582,56097,56629,57341,57815,58165,58576,58981,59365,59740,60380,61022,61335,61122
2102,Beroun,49314,49583,50082,50677,51441,52400,53587,54706,55428,56469,57162,58157,58907,59916,60809,61690,62706,63843,64927,66087,66476
4201,Bílina,20515,20510,20490,20540,20553,20639,20679,20878,20929,20844,20818,20827,21790,22119,22413,22546,22590,22542,22600,22508,19400
8101,Bílovec,25863,25854,25803,25831,25778,25798,25852,25914,25926,25953,25958,25873,25885,25809,25716,25649,25582,25620,25622,25650,25463
6201,Blansko,53803,53681,53831,53965,54354,54803,55204,55508,55664,55848,55566,55976,56270,56379,56523,56624,56848,56965,57126,57045,56155
3101,Blatná,13655,13641,13621,13572,13585,13655,13761,13913,13987,13816,13860,13833,13833,13790,13787,13708,13705,13661,13668,13604,13328
3201,Blovice,10958,10931,11022,11058,11152,11217,11378,11541,11556,11628,11697,11759,11811,11870,11926,11981,12068,12157,12185,12234,12200
8102,Bohumín,34699,34625,34558,34598,34529,34579,34655,34831,34819,34776,34121,34051,34037,33910,33719,33521,33354,33419,33366,33178,33308
6202,Boskovice,50226,50186,50216,50025,50171,50313,50459,50740,50875,51036,51281,51378,51476,51546,51603,51624,51697,51836,52010,52059,51757
2103,Brandýs nad Labem-Stará Boleslav,65637,66553,67456,69585,71933,74419,78182,83386,87006,90107,93274,95579,97991,100434,102715,105298,107915,110899,113282,115454,114553
6204,Břeclav,59380,58992,58776,58733,58664,58651,58716,58832,58829,58781,59797,59742,59682,59722,59854,59743,59726,59668,59715,59604,58281
6203,Brno,373272,370505,369559,367729,366757,366680,368533,370592,371399,371371,378965,378327,377508,377440,377028,377973,379527,380681,381346,382405,379466
5201,Broumov,17630,17573,17489,17410,17328,17318,17264,17166,17076,16988,16782,16667,16568,16456,16357,16264,16123,16021,15876,15797,15476
8103,Bruntál,39542,39448,39359,39216,39049,38979,38940,38895,38723,38667,38235,38013,37786,37522,37193,36947,36666,36567,36418,36078,35566
6205,Bučovice,15696,15741,15795,15764,15713,15740,15727,15744,15834,15891,15942,15932,15970,15994,15971,16013,16031,16084,16111,16190,16225
6101,Bystřice nad Pernštejnem,21054,21004,20934,20889,20816,20704,20629,20622,20489,20391,20359,20172,20190,20069,20008,19926,19810,19810,19755,19665,19463
7201,Bystřice pod Hostýnem,16001,15966,15928,15978,15971,16002,16000,16048,16019,16002,15783,15716,15677,15629,15578,15475,15377,15322,15242,15225,14956
2104,Čáslav,24332,24422,24523,24497,24592,24759,24825,24840,24997,25095,25064,25125,25153,25235,25351,25417,25577,25652,25663,25862,25716
2105,Černošice,83894,86088,88190,91348,95580,100322,106048,112211,116730,120990,124799,128326,131206,134351,137523,140208,142910,146004,149338,152285,151093
5101,Česká Lípa,76143,76380,76412,76608,76523,76340,76906,77508,77535,77621,76623,76579,76373,76527,76681,76666,76826,76838,76998,76704,75831
5301,Česká Třebová,19297,19193,19096,19088,18992,18884,18815,18782,18712,18614,18583,18487,18382,18364,18298,18215,18102,18088,17969,17853,17644
3102,České Budějovice,147695,147798,148028,148266,149370,150481,152171,153269,154323,155315,154786,155589,156207,157018,157925,158976,160269,161376,162553,163160,162394
2106,Český Brod,16556,16586,16683,16825,17044,17306,17778,18141,18422,18728,19262,19545,19825,20032,20367,20641,20988,21294,21537,21852,19766
3103,Český Krumlov,40648,40793,40836,40907,41163,41341,41544,41762,41894,41917,41664,41639,41685,41690,41700,41674,41647,41707,41687,41447,40714
8104,Český Těšín,27351,27236,27209,27101,26987,26869,26738,26712,26650,26592,26310,26300,26210,26179,26089,25953,25939,25801,25687,25478,24826
4102,Cheb,49816,50263,50539,50862,51158,51748,52736,52927,52766,52765,50992,50721,50396,50155,50072,50151,49944,49957,49955,49917,47890
4203,Chomutov,80957,80912,81027,81280,81251,81245,81632,81977,82100,82953,82013,81786,81826,81674,81572,81537,81515,81640,81662,81553,79204
6104,Chotěboř,22347,22354,22401,22380,22531,22431,22698,22805,22767,22647,22427,22338,22221,22206,22117,22050,21972,21903,21872,21763,21532
5304,Chrudim,82090,81955,81786,81766,81774,81988,82330,82848,82934,82897,83022,82941,82871,82926,82817,82979,83129,83320,83596,83692,82981
3104,Dačice,20231,20224,20191,20136,20078,20039,20003,19985,19870,19834,19704,19601,19518,19379,19210,19086,18954,18857,18783,18672,18396
4202,Děčín,79141,79097,79127,79049,79309,79789,80370,80419,80504,79982,78569,78588,78204,78006,77902,77715,77493,77031,76842,76131,74944
2107,Dobříš,18715,18841,18921,18941,19079,19203,19599,20129,20393,20763,21237,21536,21757,21963,22150,22353,22527,22791,23079,23263,23359
5202,Dobruška,19714,19760,19786,19796,19903,19889,19984,20063,20052,20106,20169,20293,20212,20220,20173,20164,20183,20232,20190,20128,19907
3202,Domažlice,39243,39252,39228,39226,39168,39282,39636,40008,40196,40286,40212,40296,40299,40374,40510,40491,40610,40662,40679,40464,39785
5203,Dvůr Králové nad Labem,27189,27103,27063,27105,27142,27223,27339,27480,27435,27419,27416,27398,27369,27291,27202,27120,27081,26973,26949,26885,26622
8105,Frenštát pod Radhoštěm,18765,18790,18863,18770,18793,18828,18957,19102,19106,19157,19079,19120,19135,19226,19303,19384,19391,19509,19541,19506,19303
8106,Frýdek-Místek,108428,108453,108517,108506,108767,108988,109395,109796,109977,110279,110128,110532,110645,110981,111266,111584,111713,112033,112433,112289,111311
5102,Frýdlant,24218,24231,24313,24349,24419,24545,24673,24888,24995,24966,24865,24763,24645,24571,24542,24491,24515,24496,24479,24510,24268
8107,Frýdlant nad Ostravicí,22067,22213,22373,22405,22449,22501,22754,23016,23224,23498,23698,23941,24062,24355,24452,24607,24727,24909,24950,25135,24915
8108,Havířov,99589,99417,99185,99131,98732,98679,98555,98172,97595,96839,93319,92319,91151,90107,89271,88467,87576,87096,86494,85578,84518
6102,Havlíčkův Brod,51403,51440,51606,51609,51669,51776,52178,52610,52455,52472,52107,52167,52153,52246,52220,52280,52329,52652,52932,52852,52820
