municipality_id,municipality,district_id,distric,NUTS_3_id,NUTS_3,NUTS_2_id,NUTS_2
4101,Aš,CZ0411,Cheb,CZ041,Karlovarský kraj,CZ04,Severozápad
2101,Benešov,CZ0201,Benešov,CZ020,Středočeský kraj,CZ02,Střední Čechy
2102,Beroun,CZ0202,Beroun,CZ020,Středočeský kraj,CZ02,Střední Čechy
4201,Bílina,CZ0426,Teplice,CZ042,Ústecký kraj,CZ04,Severozápad
8101,Bílovec,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
6201,Blansko,CZ0641,Blansko,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
3101,Blatná,CZ0316,Strakonice,CZ031,Jihočeský kraj,CZ03,Jihozápad
3201,Blovice,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,CZ03,Jihozápad
8102,Bohumín,CZ0803,Karviná,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
6202,Boskovice,CZ0641,Blansko,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
2103,Brandýs nad Labem-Stará Boleslav,CZ0209,Praha-východ,CZ020,Středočeský kraj,CZ02,Střední Čechy
6204,Břeclav,CZ0644,Břeclav,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
6203,Brno,CZ0642,Brno-město,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
5201,Broumov,CZ0523,Náchod,CZ052,Královéhradecký kraj,CZ05,Severovýchod
8103,Bruntál,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
6205,Bučovice,CZ0646,Vyškov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
6101,Bystřice nad Pernštejnem,CZ0635,Žďár nad Sázavou,CZ063,Kraj Vysočina,CZ06,Jihovýchod
7201,Bystřice pod Hostýnem,CZ0721,Kroměříž,CZ072,Zlínský kraj,CZ07,Střední Morava
2104,Čáslav,CZ0205,Kutná Hora,CZ020,Středočeský kraj,CZ02,Střední Čechy
2105,Černošice,CZ020A,Praha-západ,CZ020,Středočeský kraj,CZ02,Střední Čechy
5101,Česká Lípa,CZ0511,Česká Lípa,CZ051,Liberecký kraj,CZ05,Severovýchod
5301,Česká Třebová,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
3102,České Budějovice,CZ0311,České Budějovice,CZ031,Jihočeský kraj,CZ03,Jihozápad
2106,Český Brod,CZ0204,Kolín,CZ020,Středočeský kraj,CZ02,Střední Čechy
3103,Český Krumlov,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,CZ03,Jihozápad
8104,Český Těšín,CZ0803,Karviná,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
4102,Cheb,CZ0411,Cheb,CZ041,Karlovarský kraj,CZ04,Severozápad
4203,Chomutov,CZ0422,Chomutov,CZ042,Ústecký kraj,CZ04,Severozápad
6104,Chotěboř,CZ0631,Havlíčkův Brod,CZ063,Kraj Vysočina,CZ06,Jihovýchod
5304,Chrudim,CZ0531,Chrudim,CZ053,Pardubický kraj,CZ05,Severovýchod
3104,Dačice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,CZ03,Jihozápad
