"","municipality_id","municipality","district_id","distric","NUTS_3_id","NUTS_3","NUTS_2_id","NUTS_2","ico","name"
"1",4101,"Aš","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad","00253901","Město Aš"
"2",2101,"Benešov","CZ0201","Benešov","CZ020","Středočeský kraj","CZ02","Střední Čechy","00231401","Město Benešov"
"3",2102,"Beroun","CZ0202","Beroun","CZ020","Středočeský kraj","CZ02","Střední Čechy","00233129","Město Beroun"
"4",4201,"Bílina","CZ0426","Teplice","CZ042","Ústecký kraj","CZ04","Severozápad","00266230","Město Bílina"
"5",8101,"Bílovec","CZ0804","Nový Jičín","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00297755","Město Bílovec"
"6",6201,"Blansko","CZ0641","Blansko","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00279943","Město Blansko"
"7",3101,"Blatná","CZ0316","Strakonice","CZ031","Jihočeský kraj","CZ03","Jihozápad","00250996","Město Blatná"
"8",3201,"Blovice","CZ0324","Plzeň-jih","CZ032","Plzeňský kraj","CZ03","Jihozápad","00256455","Město Blovice"
"9",8102,"Bohumín","CZ0803","Karviná","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00297569","Město Bohumín"
"10",6202,"Boskovice","CZ0641","Blansko","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00279978","Město Boskovice"
"11",2103,"Brandýs nad Labem-Stará Boleslav","CZ0209","Praha-východ","CZ020","Středočeský kraj","CZ02","Střední Čechy","00240079","Město Brandýs nad Labem - Stará Boleslav"
"12",6204,"Břeclav","CZ0644","Břeclav","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00283061","Město Břeclav"
"13",6203,"Brno","CZ0642","Brno-město","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","44992785","Statutární město Brno"
"14",5201,"Broumov","CZ0523","Náchod","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00272523","Město Broumov"
"15",8103,"Bruntál","CZ0801","Bruntál","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00295892","Město Bruntál"
"16",6205,"Bučovice","CZ0646","Vyškov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00291676","Město Bučovice"
"17",6101,"Bystřice nad Pernštejnem","CZ0635","Žďár nad Sázavou","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00294136","Město Bystřice nad Pernštejnem"
"18",7201,"Bystřice pod Hostýnem","CZ0721","Kroměříž","CZ072","Zlínský kraj","CZ07","Střední Morava","00287113","Město Bystřice pod Hostýnem"
"19",2104,"Čáslav","CZ0205","Kutná Hora","CZ020","Středočeský kraj","CZ02","Střední Čechy","00236021","Město Čáslav"
"20",2105,"Černošice","CZ020A","Praha-západ","CZ020","Středočeský kraj","CZ02","Střední Čechy","00241121","Město Černošice"
"21",5101,"Česká Lípa","CZ0511","Česká Lípa","CZ051","Liberecký kraj","CZ05","Severovýchod","00260428","Město Česká Lípa"
"22",5301,"Česká Třebová","CZ0534","Ústí nad Orlicí","CZ053","Pardubický kraj","CZ05","Severovýchod","00278653","Město Česká Třebová"
"23",3102,"České Budějovice","CZ0311","České Budějovice","CZ031","Jihočeský kraj","CZ03","Jihozápad","00244732","Statutární město České Budějovice"
"24",2106,"Český Brod","CZ0204","Kolín","CZ020","Středočeský kraj","CZ02","Střední Čechy","00235334","Město Český Brod"
"25",3103,"Český Krumlov","CZ0312","Český Krumlov","CZ031","Jihočeský kraj","CZ03","Jihozápad","00245836","Město Český Krumlov"
"26",8104,"Český Těšín","CZ0803","Karviná","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00297437","Město Český Těšín"
"27",4102,"Cheb","CZ0411","Cheb","CZ041","Karlovarský kraj","CZ04","Severozápad","00253979","Město Cheb"
"28",4203,"Chomutov","CZ0422","Chomutov","CZ042","Ústecký kraj","CZ04","Severozápad","00261891","Statutární město Chomutov"
"29",6104,"Chotěboř","CZ0631","Havlíčkův Brod","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00267538","Město Chotěboř"
