ID,IČO,Název,Od,Do,DIČ,Adresa,Ulice,PSČ,Sídlo,Zřizovatel,Počet obyvatel,Kraj,Obec,Základní územní jednotka ,Datum vzniku,Kapitola ID,Druh ÚJ ,NACE,NUTS,COFOG,municipality
6.3593010824461E+018,00254398,Město Abertamy,44562,2958465,CZ00254398,"Farní 2, 362 35 Abertamy",Farní 2,362 35,Abertamy,00254398,924,CZ041,Abertamy,554979,26846,0,4,84110,CZ0412,0,Aš
1.77815891821694E+018,00279889,Město Adamov,44562,2958465,CZ00279889,"Pod Horkou 101/2, 679 04 Adamov",Pod Horkou 101/2,679 04,Adamov,00279889,4515,CZ064,Adamov,581291,33201,0,4,84110,CZ0641,0,Benešov
2.48013530962762E+018,00639664,Obec Adamov,44562,2958465,CZ00639664,"Adamov, 286 01 Čáslav",Adamov ,286 01,Čáslav,00639664,132,CZ020,Adamov,531367,33239,0,4,84110,CZ0205,0,Beroun
5.24147305566511E+018,00581160,Obec Adamov,44562,2958465,CZ00581160,"V Chalupách 47, 373 71 Adamov",V Chalupách 47,373 71,Adamov,00581160,979,CZ031,Adamov,535826,33239,0,4,84110,CZ0311,0,Bílina
1.37363741698413E+018,00653560,Obec Adršpach,44562,2958465,CZ00653560,"Horní Adršpach 128, 549 52 Adršpach",Horní Adršpach 128,549 52,Adršpach,00653560,513,CZ052,Adršpach,547786,33208,0,4,84110,CZ0523,0,Bílovec
2.42944675361226E+018,00297429,Obec Albrechtice,44562,2958465,CZ00297429,"Obecní 186, 735 43 Albrechtice",Obecní 186,735 43,Albrechtice,00297429,3849,CZ080,Albrechtice,598925,26846,0,4,84110,CZ0803,0,Blansko
3.34775359118043E+018,00296228,Město Albrechtice,44562,2958465,CZ00296228,"nám. ČSA 23/10, 793 95 Město Albrechtice",nám. ČSA 23/10,793 95,Město Albrechtice,00296228,3481,CZ080,Albrechtice,597635,29495,0,4,84110,CZ0801,0,Blatná
9.02368322185344E+018,00581003,Obec Albrechtice,44562,2958465,CZ00581003,"Albrechtice 145, 563 01 Lanškroun",Albrechtice 145,563 01,Lanškroun,00581003,452,CZ053,Albrechtice,547981,33201,0,4,84110,CZ0534,0,Blovice
6.74747027984235E+018,00579106,Obec Albrechtice nad Orlicí,44562,2958465,CZ00579106,"Na Výsluní 275, 517 22 Albrechtice nad Orlicí",Na Výsluní 275,517 22,Albrechtice nad Orlicí,00579106,1002,CZ052,Albrechtice nad Orlicí,576077,33202,0,4,84110,CZ0524,0,Bohumín
3.78282463733225E+017,00249521,Obec Albrechtice nad Vltavou,44562,2958465,CZ00249521,398 16 Albrechtice nad Vltavou 79, ,398 16,Albrechtice nad Vltavou 79,00249521,946,CZ031,Albrechtice nad Vltavou,549258,26846,0,4,84110,CZ0314,0,Boskovice
1.60570175521663E+018,00262277,Obec Albrechtice v Jizerských horách,44562,2958465,CZ00262277,468 43 Albrechtice v Jizerských horách 226, ,468 43,Albrechtice v Jizerských horách 226,00262277,350,CZ051,Albrechtice v Jizerských horách,563528,26846,0,4,84110,CZ0512,0,Brandýs nad Labem-Stará Boleslav
5.78723124639272E+017,00600814,Obec Albrechtičky,44562,2958465,CZ00600814,742 55 Albrechtičky 131, ,742 55,Albrechtičky 131,00600814,704,CZ080,Albrechtičky,568741,33208,0,4,84110,CZ0804,0,Břeclav
