code_of_unit,unit_name,population_total,population_males,population_females,avg_age_total,avg_age_males,avg_age_females,region,date
4201,Bílina,20639,10132,10507,38.13118368137991,36.98440584287406,39.237032454554104,Ústecký kraj,2006-12-31
4202,Děčín,79789,39485,40304,39.59206782889872,38.029441560086106,41.122940651052005,Ústecký kraj,2006-12-31
4203,Chomutov,81245,39852,41393,38.49193796541326,37.17841011743451,39.75656511970623,Ústecký kraj,2006-12-31
4204,Kadaň,43795,21604,22191,38.26173079118621,36.869329753749305,39.61729980622775,Ústecký kraj,2006-12-31
4205,Litoměřice,56578,27830,28748,39.59242108239952,38.221451670858784,40.91961179908168,Ústecký kraj,2006-12-31
4206,Litvínov,40233,19910,20323,40.18617801307384,38.76936212958312,41.57420164345815,Ústecký kraj,2006-12-31
4207,Louny,43021,21064,21957,39.384242579205505,37.97455374097987,40.736598806758664,Ústecký kraj,2006-12-31
4208,Lovosice,26234,12989,13245,40.98250362125486,39.27550234814073,42.65651189127973,Ústecký kraj,2006-12-31
4209,Most,76599,37337,39262,38.4385109466181,36.87523100409781,39.92514390504814,Ústecký kraj,2006-12-31
4210,Podbořany,15883,7923,7960,39.496159415727504,38.00738356683075,40.97801507537689,Ústecký kraj,2006-12-31
4211,Roudnice nad Labem,30631,14992,15639,40.68311514478796,39.123999466382074,42.17772875503549,Ústecký kraj,2006-12-31
4212,Rumburk,34220,16907,17313,38.7364699006429,37.18581061098953,40.25076532085716,Ústecký kraj,2006-12-31
4213,Teplice,107341,52310,55031,39.599803430189766,38.065838271840946,41.05792189856626,Ústecký kraj,2006-12-31
4214,Ústí nad Labem,119260,58234,61026,39.20703504947174,37.64445169488615,40.698128666470026,Ústecký kraj,2006-12-31
4215,Varnsdorf,20567,10070,10497,39.00021879710216,37.40069513406157,40.534676574259315,Ústecký kraj,2006-12-31
4216,Žatec,27230,13531,13699,39.046970253396985,37.63576232355332,40.4408715964669,Ústecký kraj,2006-12-31
7201,Bystřice pod Hostýnem,16002,7811,8191,40.13267091613548,38.42292920240686,41.76309363936027,Zlínský kraj,2006-12-31
7202,Holešov,21618,10563,11055,40.27759274678509,38.47850989302282,41.9966078697422,Zlínský kraj,2006-12-31
7203,Kroměříž,70053,33975,36078,40.41512140807674,38.64805003679176,42.079189533787904,Zlínský kraj,2006-12-31
7204,Luhačovice,19450,9513,9937,40.02874035989717,38.15005781562073,41.82726174901882,Zlínský kraj,2006-12-31
7205,Otrokovice,34801,17108,17693,40.23549610643372,38.55582183773673,41.85963375346182,Zlínský kraj,2006-12-31
7206,Rožnov pod Radhoštěm,35271,17211,18060,40.162413881092114,38.79818139561908,41.4625138427464,Zlínský kraj,2006-12-31
7207,Uherské Hradiště,90020,43760,46260,40.241512997111755,38.567915904936015,41.82466493731085,Zlínský kraj,2006-12-31
7208,Uherský Brod,53711,26410,27301,40.08060732438421,38.277470655054906,41.82489652393685,Zlínský kraj,2006-12-31
7209,Valašské Klobouky,23961,11901,12060,38.56543967280164,36.98424502142677,40.12578772802653,Zlínský kraj,2006-12-31
7210,Valašské Meziříčí,41943,20525,21418,39.42315761867296,37.88830694275274,40.89401438042768,Zlínský kraj,2006-12-31
7211,Vizovice,16264,7943,8321,38.621802754549925,37.0986403122246,40.0757721427713,Zlínský kraj,2006-12-31
7212,Vsetín,67664,33146,34518,39.61923622605817,38.00057322150486,41.17356162002434,Zlínský kraj,2006-12-31
7213,Zlín,99081,47473,51608,41.361487066137805,39.50311756156131,43.070957991009145,Zlínský kraj,2006-12-31
6101,Bystřice nad Pernštejnem,20704,10388,10316,39.915716769706336,38.392279553330766,41.44978673904614,Vysočina,2006-12-31
6102,Havlíčkův Brod,51774,25388,26386,40.0051956580523,38.54541515676698,41.40976275297506,Vysočina,2006-12-31
6103,Humpolec,16942,8334,8608,41.01587770038957,39.53851691864651,42.44621282527881,Vysočina,2006-12-31
6104,Chotěboř,22431,11184,11247,40.1949757032678,38.8652539341917,41.51724904418956,Vysočina,2006-12-31
6105,Jihlava,97800,48372,49428,39.79743353783231,38.16592243446622,41.39408837096383,Vysočina,2006-12-31
6106,Moravské Budějovice,24355,12166,12189,39.73966331348799,38.151652145323034,41.32467798835015,Vysočina,2006-12-31
6107,Náměšť nad Oslavou,13411,6633,6778,40.707590783685035,39.231644806271674,42.151962230746534,Vysočina,2006-12-31
6108,Nové Město na Moravě,19540,9774,9766,39.059467758444214,37.78105177000205,40.338930985050176,Vysočina,2006-12-31
6109,Pacov,10010,5009,5001,41.786013986013984,40.02445597923737,43.5503899220156,Vysočina,2006-12-31
6110,Pelhřimov,45530,22610,22920,40.34853942455524,38.88898717381689,41.78835078534031,Vysočina,2006-12-31
6111,Světlá nad Sázavou,20327,10200,10127,40.75198012495695,39.23872549019608,42.2761429841019,Vysočina,2006-12-31
6112,Telč,13469,6692,6777,40.1391714306927,38.48475791990436,41.77283458757562,Vysočina,2006-12-31
6113,Třebíč,76221,37415,38806,39.269118746802064,37.99824936522785,40.4944338504355,Vysočina,2006-12-31
6114,Velké Meziříčí,35230,17423,17807,38.5209480556344,37.094042357802905,39.91708316954007,Vysočina,2006-12-31
6115,Žďár nad Sázavou,43901,21755,22146,39.160303865515594,37.91250287290278,40.386074234624765,Vysočina,2006-12-31
2101,Benešov,54116,26657,27459,40.07293591544091,38.75044078478449,41.356804690629666,Středočeský kraj,2006-12-31
2102,Beroun,52400,25821,26579,39.82578244274809,38.39891948414081,41.211953045637536,Středočeský kraj,2006-12-31
2103,Brandýs nad Labem-Stará Boleslav,74419,36419,38000,39.47034359504965,38.19136988934348,40.6961052631579,Středočeský kraj,2006-12-31
2104,Čáslav,24759,12250,12509,40.947958318187325,39.33134693877551,42.531097609721,Středočeský kraj,2006-12-31
2105,Černošice,100322,49300,51022,38.81084906600746,37.730101419878295,39.855121320214806,Středočeský kraj,2006-12-31
2106,Český Brod,17306,8513,8793,39.66583843753612,38.35398801832491,40.93591493233254,Středočeský kraj,2006-12-31
2107,Dobříš,19203,9478,9725,40.10646773941571,38.583456425406204,41.5907969151671,Středočeský kraj,2006-12-31
2108,Hořovice,27186,13432,13754,40.87791510336203,39.49292733770101,42.23047840628181,Středočeský kraj,2006-12-31
2109,Kladno,116041,56461,59580,40.3523280564628,38.78421388214874,41.838351795904664,Středočeský kraj,2006-12-31
2110,Kolín,75645,37095,38550,40.92478683323419,39.26039897560318,42.526355382619975,Středočeský kraj,2006-12-31
2111,Kralupy nad Vltavou,26904,13071,13833,40.47082218257509,39.035842705225306,41.82675486156293,Středočeský kraj,2006-12-31
2112,Kutná Hora,49630,24647,24983,40.66258311505138,39.117154217551835,42.18722731457391,Středočeský kraj,2006-12-31
2113,Lysá nad Labem,19341,9482,9859,36.42409906416421,35.23338958025733,37.56927680292119,Středočeský kraj,2006-12-31
2114,Mělník,40475,19778,20697,39.970117356392834,38.39265850945495,41.477532975793594,Středočeský kraj,2006-12-31
2115,Mladá Boleslav,102109,50748,51361,39.66072040662429,38.242334673287615,41.062177527696115,Středočeský kraj,2006-12-31
2116,Mnichovo Hradiště,15774,7850,7924,40.76150627615063,39.00891719745223,42.497728419989905,Středočeský kraj,2006-12-31
2117,Neratovice,28564,13992,14572,39.06249124772441,37.60041452258434,40.466373867691466,Středočeský kraj,2006-12-31
2118,Nymburk,36779,17917,18862,40.61721362734169,39.156527320421944,42.00471848160322,Středočeský kraj,2006-12-31
2119,Poděbrady,28928,14049,14879,41.87980503318584,40.20424941276959,43.46189260030916,Středočeský kraj,2006-12-31
2120,Příbram,68959,33752,35207,40.290687219942285,38.85879355297464,41.66340500468657,Středočeský kraj,2006-12-31
2121,Rakovník,52882,26022,26860,40.46044022540751,39.10060717854123,41.777848101265825,Středočeský kraj,2006-12-31
2122,Říčany,46666,22786,23880,39.18428834697639,38.04638813306416,40.27005862646566,Středočeský kraj,2006-12-31
2123,Sedlčany,22023,10848,11175,39.99752531444399,38.335822271386434,41.610604026845635,Středočeský kraj,2006-12-31
2124,Slaný,37254,18236,19018,40.15544639501798,38.54990129414345,41.69497318330003,Středočeský kraj,2006-12-31
2125,Vlašim,25663,12747,12916,40.81410980789463,39.39762297011062,42.212062558067515,Středočeský kraj,2006-12-31
2126,Votice,11906,5869,6037,41.04191164118931,39.50204464133584,42.53892661918171,Středočeský kraj,2006-12-31
3201,Blovice,11217,5551,5666,40.7942854595703,39.294271302468026,42.26385457112602,Plzeňský kraj,2006-12-31
3202,Domažlice,39282,19358,19924,39.93567028155389,38.64583118090712,41.18886769724955,Plzeňský kraj,2006-12-31
3203,Horažďovice,12221,6029,6192,41.1984698469847,39.497346160225575,42.854812661498705,Plzeňský kraj,2006-12-31
