code_of_unit,unit_name,population_total,population_males,population_females,avg_age_total,avg_age_males,avg_age_females,region,date
4201,Bílina,20639.0,10132.0,10507.0,38.13118368137991,36.98440584287406,39.237032454554104,Ústecký kraj,2007-01-01
4202,Děčín,79789.0,39485.0,40304.0,39.59206782889872,38.029441560086106,41.122940651052005,Ústecký kraj,2007-01-01
4203,Chomutov,81245.0,39852.0,41393.0,38.49193796541326,37.17841011743451,39.75656511970623,Ústecký kraj,2007-01-01
4204,Kadaň,43795.0,21604.0,22191.0,38.26173079118621,36.869329753749305,39.61729980622775,Ústecký kraj,2007-01-01
4205,Litoměřice,56578.0,27830.0,28748.0,39.59242108239952,38.221451670858784,40.91961179908168,Ústecký kraj,2007-01-01
4206,Litvínov,40233.0,19910.0,20323.0,40.18617801307384,38.76936212958312,41.57420164345815,Ústecký kraj,2007-01-01
4207,Louny,43021.0,21064.0,21957.0,39.384242579205505,37.97455374097987,40.736598806758664,Ústecký kraj,2007-01-01
4208,Lovosice,26234.0,12989.0,13245.0,40.98250362125486,39.27550234814073,42.65651189127973,Ústecký kraj,2007-01-01
4209,Most,76599.0,37337.0,39262.0,38.4385109466181,36.87523100409781,39.92514390504814,Ústecký kraj,2007-01-01
4210,Podbořany,15883.0,7923.0,7960.0,39.496159415727504,38.00738356683075,40.97801507537689,Ústecký kraj,2007-01-01
4211,Roudnice nad Labem,30631.0,14992.0,15639.0,40.68311514478796,39.123999466382074,42.17772875503549,Ústecký kraj,2007-01-01
4212,Rumburk,34220.0,16907.0,17313.0,38.7364699006429,37.18581061098953,40.25076532085716,Ústecký kraj,2007-01-01
4213,Teplice,107341.0,52310.0,55031.0,39.599803430189766,38.065838271840946,41.05792189856626,Ústecký kraj,2007-01-01
4214,Ústí nad Labem,119260.0,58234.0,61026.0,39.20703504947174,37.64445169488615,40.698128666470026,Ústecký kraj,2007-01-01
4215,Varnsdorf,20567.0,10070.0,10497.0,39.00021879710216,37.40069513406157,40.534676574259315,Ústecký kraj,2007-01-01
4216,Žatec,27230.0,13531.0,13699.0,39.046970253396985,37.63576232355332,40.4408715964669,Ústecký kraj,2007-01-01
7201,Bystřice pod Hostýnem,16002.0,7811.0,8191.0,40.13267091613548,38.42292920240686,41.76309363936027,Zlínský kraj,2007-01-01
7202,Holešov,21618.0,10563.0,11055.0,40.27759274678509,38.47850989302282,41.9966078697422,Zlínský kraj,2007-01-01
7203,Kroměříž,70053.0,33975.0,36078.0,40.41512140807674,38.64805003679176,42.079189533787904,Zlínský kraj,2007-01-01
7204,Luhačovice,19450.0,9513.0,9937.0,40.02874035989717,38.15005781562073,41.82726174901882,Zlínský kraj,2007-01-01
7205,Otrokovice,34801.0,17108.0,17693.0,40.23549610643372,38.55582183773673,41.85963375346182,Zlínský kraj,2007-01-01
7206,Rožnov pod Radhoštěm,35271.0,17211.0,18060.0,40.162413881092114,38.79818139561908,41.462513842746404,Zlínský kraj,2007-01-01
7207,Uherské Hradiště,90020.0,43760.0,46260.0,40.241512997111755,38.567915904936015,41.82466493731085,Zlínský kraj,2007-01-01
7208,Uherský Brod,53711.0,26410.0,27301.0,40.080607324384204,38.277470655054906,41.82489652393685,Zlínský kraj,2007-01-01
7209,Valašské Klobouky,23961.0,11901.0,12060.0,38.56543967280164,36.98424502142677,40.12578772802653,Zlínský kraj,2007-01-01
7210,Valašské Meziříčí,41943.0,20525.0,21418.0,39.42315761867296,37.88830694275274,40.89401438042768,Zlínský kraj,2007-01-01
7211,Vizovice,16264.0,7943.0,8321.0,38.621802754549925,37.0986403122246,40.0757721427713,Zlínský kraj,2007-01-01
7212,Vsetín,67664.0,33146.0,34518.0,39.61923622605817,38.00057322150486,41.17356162002434,Zlínský kraj,2007-01-01
7213,Zlín,99081.0,47473.0,51608.0,41.361487066137805,39.50311756156131,43.070957991009145,Zlínský kraj,2007-01-01
6101,Bystřice nad Pernštejnem,20704.0,10388.0,10316.0,39.915716769706336,38.392279553330766,41.44978673904614,Vysočina,2007-01-01
6102,Havlíčkův Brod,51774.0,25388.0,26386.0,40.0051956580523,38.54541515676698,41.40976275297506,Vysočina,2007-01-01
6103,Humpolec,16942.0,8334.0,8608.0,41.01587770038957,39.53851691864651,42.44621282527881,Vysočina,2007-01-01
6104,Chotěboř,22431.0,11184.0,11247.0,40.1949757032678,38.8652539341917,41.51724904418956,Vysočina,2007-01-01
6105,Jihlava,97800.0,48372.0,49428.0,39.79743353783231,38.16592243446622,41.39408837096383,Vysočina,2007-01-01
6106,Moravské Budějovice,24355.0,12166.0,12189.0,39.73966331348799,38.151652145323034,41.32467798835015,Vysočina,2007-01-01
6107,Náměšť nad Oslavou,13411.0,6633.0,6778.0,40.707590783685035,39.231644806271674,42.151962230746534,Vysočina,2007-01-01
6108,Nové Město na Moravě,19540.0,9774.0,9766.0,39.059467758444214,37.781051770002044,40.338930985050176,Vysočina,2007-01-01
6109,Pacov,10010.0,5009.0,5001.0,41.786013986013984,40.02445597923737,43.5503899220156,Vysočina,2007-01-01
6110,Pelhřimov,45530.0,22610.0,22920.0,40.34853942455524,38.88898717381689,41.78835078534031,Vysočina,2007-01-01
6111,Světlá nad Sázavou,20327.0,10200.0,10127.0,40.75198012495695,39.23872549019608,42.2761429841019,Vysočina,2007-01-01
6112,Telč,13469.0,6692.0,6777.0,40.1391714306927,38.48475791990436,41.77283458757562,Vysočina,2007-01-01
6113,Třebíč,76221.0,37415.0,38806.0,39.269118746802064,37.99824936522785,40.4944338504355,Vysočina,2007-01-01
6114,Velké Meziříčí,35230.0,17423.0,17807.0,38.5209480556344,37.094042357802905,39.91708316954007,Vysočina,2007-01-01
6115,Žďár nad Sázavou,43901.0,21755.0,22146.0,39.160303865515594,37.91250287290278,40.386074234624765,Vysočina,2007-01-01
2101,Benešov,54116.0,26657.0,27459.0,40.07293591544091,38.75044078478449,41.356804690629666,Středočeský kraj,2007-01-01
2102,Beroun,52400.0,25821.0,26579.0,39.82578244274809,38.39891948414081,41.211953045637536,Středočeský kraj,2007-01-01
2103,Brandýs nad Labem-Stará Boleslav,74419.0,36419.0,38000.0,39.47034359504965,38.19136988934348,40.6961052631579,Středočeský kraj,2007-01-01
2104,Čáslav,24759.0,12250.0,12509.0,40.947958318187325,39.33134693877551,42.531097609721,Středočeský kraj,2007-01-01
2105,Černošice,100322.0,49300.0,51022.0,38.81084906600746,37.730101419878295,39.855121320214806,Středočeský kraj,2007-01-01
2106,Český Brod,17306.0,8513.0,8793.0,39.66583843753612,38.35398801832491,40.93591493233254,Středočeský kraj,2007-01-01
2107,Dobříš,19203.0,9478.0,9725.0,40.10646773941571,38.583456425406204,41.5907969151671,Středočeský kraj,2007-01-01
2108,Hořovice,27186.0,13432.0,13754.0,40.87791510336203,39.49292733770101,42.23047840628181,Středočeský kraj,2007-01-01
2109,Kladno,116041.0,56461.0,59580.0,40.3523280564628,38.78421388214874,41.838351795904664,Středočeský kraj,2007-01-01
2110,Kolín,75645.0,37095.0,38550.0,40.92478683323419,39.26039897560318,42.526355382619975,Středočeský kraj,2007-01-01
2111,Kralupy nad Vltavou,26904.0,13071.0,13833.0,40.470822182575084,39.035842705225306,41.82675486156293,Středočeský kraj,2007-01-01
2112,Kutná Hora,49630.0,24647.0,24983.0,40.66258311505138,39.117154217551835,42.18722731457391,Středočeský kraj,2007-01-01
2113,Lysá nad Labem,19341.0,9482.0,9859.0,36.42409906416421,35.23338958025733,37.56927680292119,Středočeský kraj,2007-01-01
2114,Mělník,40475.0,19778.0,20697.0,39.970117356392834,38.39265850945495,41.47753297579359,Středočeský kraj,2007-01-01
2115,Mladá Boleslav,102109.0,50748.0,51361.0,39.66072040662429,38.242334673287615,41.062177527696115,Středočeský kraj,2007-01-01
2116,Mnichovo Hradiště,15774.0,7850.0,7924.0,40.76150627615063,39.00891719745223,42.497728419989905,Středočeský kraj,2007-01-01
2117,Neratovice,28564.0,13992.0,14572.0,39.06249124772441,37.60041452258434,40.466373867691466,Středočeský kraj,2007-01-01
2118,Nymburk,36779.0,17917.0,18862.0,40.61721362734169,39.156527320421944,42.00471848160322,Středočeský kraj,2007-01-01
2119,Poděbrady,28928.0,14049.0,14879.0,41.87980503318584,40.20424941276959,43.46189260030916,Středočeský kraj,2007-01-01
2120,Příbram,68959.0,33752.0,35207.0,40.290687219942285,38.85879355297464,41.66340500468657,Středočeský kraj,2007-01-01
2121,Rakovník,52882.0,26022.0,26860.0,40.46044022540751,39.10060717854123,41.777848101265825,Středočeský kraj,2007-01-01
2122,Říčany,46666.0,22786.0,23880.0,39.18428834697639,38.04638813306416,40.27005862646566,Středočeský kraj,2007-01-01
2123,Sedlčany,22023.0,10848.0,11175.0,39.99752531444399,38.335822271386434,41.610604026845635,Středočeský kraj,2007-01-01
2124,Slaný,37254.0,18236.0,19018.0,40.15544639501798,38.54990129414345,41.69497318330003,Středočeský kraj,2007-01-01
2125,Vlašim,25663.0,12747.0,12916.0,40.81410980789463,39.39762297011062,42.212062558067515,Středočeský kraj,2007-01-01
2126,Votice,11906.0,5869.0,6037.0,41.041911641189316,39.502044641335836,42.538926619181716,Středočeský kraj,2007-01-01
3201,Blovice,11217.0,5551.0,5666.0,40.7942854595703,39.294271302468026,42.26385457112602,Plzeňský kraj,2007-01-01
3202,Domažlice,39282.0,19358.0,19924.0,39.93567028155389,38.645831180907116,41.18886769724955,Plzeňský kraj,2007-01-01
3203,Horažďovice,12221.0,6029.0,6192.0,41.1984698469847,39.497346160225575,42.854812661498705,Plzeňský kraj,2007-01-01
3204,Horšovský Týn,13820.0,6956.0,6864.0,39.66808972503618,38.343300747556064,41.0106351981352,Plzeňský kraj,2007-01-01
3205,Klatovy,50826.0,25066.0,25760.0,40.16121670011412,38.8456075959467,41.44138198757764,Plzeňský kraj,2007-01-01
3206,Kralovice,22046.0,10999.0,11047.0,40.29002993740361,39.04404945904173,41.53059654204761,Plzeňský kraj,2007-01-01
3207,Nepomuk,11178.0,5579.0,5599.0,41.60359634997316,39.70218677182291,43.49821396677978,Plzeňský kraj,2007-01-01
3208,Nýřany,49869.0,24614.0,25255.0,39.42251699452566,38.35272609084261,40.465155414769356,Plzeňský kraj,2007-01-01
3209,Plzeň,178812.0,86287.0,92525.0,41.76257186318592,40.23306523578291,43.18895974061065,Plzeňský kraj,2007-01-01
3210,Přeštice,20609.0,10214.0,10395.0,40.37146392352856,39.205698061484235,41.51693121693122,Plzeňský kraj,2007-01-01
3211,Rokycany,46117.0,22808.0,23309.0,41.12157122102479,39.78305857593827,42.43131408468832,Plzeňský kraj,2007-01-01
3212,Stod,21749.0,10878.0,10871.0,39.78861097061934,38.53125574554146,41.04677582559102,Plzeňský kraj,2007-01-01
3213,Stříbro,16532.0,8203.0,8329.0,38.71104524558432,37.404790930147506,39.99753872013447,Plzeňský kraj,2007-01-01
3214,Sušice,24974.0,12294.0,12680.0,41.30531753023144,39.67699690906133,42.88406940063091,Plzeňský kraj,2007-01-01
3215,Tachov,35285.0,17587.0,17698.0,38.224415473997446,37.188576789674194,39.25375748672166,Plzeňský kraj,2007-01-01
5301,Česká Třebová,18884.0,9263.0,9621.0,40.11147002753654,38.42410666090899,41.73604614904895,Pardubický kraj,2007-01-01
5302,Hlinsko,21488.0,10626.0,10862.0,40.039836187639615,38.26143421795596,41.77959860062604,Pardubický kraj,2007-01-01
5303,Holice,16497.0,8090.0,8407.0,39.677608049948475,37.913102595797284,41.375579873914596,Pardubický kraj,2007-01-01
5304,Chrudim,81988.0,40316.0,41672.0,40.044360150265895,38.5170651850382,41.52195718947975,Pardubický kraj,2007-01-01
5305,Králíky,9216.0,4534.0,4682.0,38.63031684027778,37.3392148213498,39.880606578385304,Pardubický kraj,2007-01-01
5306,Lanškroun,22050.0,10825.0,11225.0,38.768843537414966,37.391362586605084,40.09723830734966,Pardubický kraj,2007-01-01
5307,Litomyšl,26207.0,12876.0,13331.0,39.18870912351662,37.914958061509786,40.41898582251894,Pardubický kraj,2007-01-01
5308,Moravská Třebová,27293.0,13484.0,13809.0,39.477100355402484,37.82275289231682,41.09251212977044,Pardubický kraj,2007-01-01
5309,Pardubice,121586.0,59028.0,62558.0,41.152237922129196,39.503388222538454,42.70804693244669,Pardubický kraj,2007-01-01
5310,Polička,19419.0,9634.0,9785.0,39.43768989134353,37.79219431181233,41.05779253960143,Pardubický kraj,2007-01-01
5311,Přelouč,23766.0,11776.0,11990.0,41.01611545905916,39.54194972826087,42.46396997497915,Pardubický kraj,2007-01-01
5312,Svitavy,31667.0,15536.0,16131.0,39.64181955979411,38.04582904222451,41.178941169177364,Pardubický kraj,2007-01-01
5313,Ústí nad Orlicí,26648.0,13155.0,13493.0,39.93087661362954,38.50919802356518,41.31694211813533,Pardubický kraj,2007-01-01
5314,Vysoké Mýto,32234.0,15760.0,16474.0,39.683160637835826,38.12493654822335,41.17384970256161,Pardubický kraj,2007-01-01
5315,Žamberk,28808.0,14314.0,14494.0,38.557414607053595,37.226770993433,39.87153304815786,Pardubický kraj,2007-01-01
7101,Hranice,34788.0,16989.0,17799.0,39.07755547890077,37.57587262346224,40.51089948873532,Olomoucký kraj,2007-01-01
7102,Jeseník,41827.0,20749.0,21078.0,39.40735649221794,37.82575063858499,40.964275547964704,Olomoucký kraj,2007-01-01
7103,Konice,11385.0,5646.0,5739.0,40.67127799736495,39.164364151611764,42.15377243422199,Olomoucký kraj,2007-01-01
7104,Lipník nad Bečvou,15394.0,7542.0,7852.0,39.546121865661945,37.901219835587376,41.12608252674478,Olomoucký kraj,2007-01-01
7105,Litovel,23451.0,11667.0,11784.0,40.24947763421603,38.68273763606754,41.800661914460285,Olomoucký kraj,2007-01-01
7106,Mohelnice,18703.0,9179.0,9524.0,39.61131903972625,37.92619021679921,41.23540529189416,Olomoucký kraj,2007-01-01
7107,Olomouc,159005.0,76380.0,82625.0,40.19734913996415,38.512529457973294,41.75482602118003,Olomoucký kraj,2007-01-01
7108,Prostějov,98248.0,47537.0,50711.0,40.44221765328556,38.866703830700295,41.919120112007256,Olomoucký kraj,2007-01-01
7109,Přerov,84486.0,41183.0,43303.0,40.708780152924746,39.01669378141466,42.31802646467912,Olomoucký kraj,2007-01-01
7110,Šternberk,23834.0,11681.0,12153.0,39.57128471930855,38.09104528721856,40.99403439479964,Olomoucký kraj,2007-01-01
7111,Šumperk,72266.0,35676.0,36590.0,40.10644009631085,38.484443323242516,41.687920196775075,Olomoucký kraj,2007-01-01
7112,Uničov,22881.0,11211.0,11670.0,39.629233862156376,38.207341004370704,40.99520137103685,Olomoucký kraj,2007-01-01
7113,Zábřeh,33626.0,16424.0,17202.0,39.6205019925058,38.3319532391622,40.850773165910944,Olomoucký kraj,2007-01-01
8101,Bílovec,25798.0,12678.0,13120.0,39.18613846034577,37.77299258558132,40.551676829268295,Moravskoslezský kraj,2007-01-01
8102,Bohumín,29792.0,14667.0,15125.0,40.08418367346939,38.221415422376765,41.89054545454545,Moravskoslezský kraj,2007-01-01
8103,Bruntál,38979.0,19203.0,19776.0,38.329292696067114,37.11719522991199,39.50627022653722,Moravskoslezský kraj,2007-01-01
8104,Český Těšín,26869.0,13048.0,13821.0,38.796214968923294,37.27176578786021,40.23540264814413,Moravskoslezský kraj,2007-01-01
8105,Frenštát pod Radhoštěm,18828.0,9180.0,9648.0,39.91395793499044,38.12004357298475,41.62085406301824,Moravskoslezský kraj,2007-01-01
8106,Frýdek-Místek,108988.0,53542.0,55446.0,39.359241384372595,37.96854805573195,40.70217869638928,Moravskoslezský kraj,2007-01-01
8107,Frýdlant nad Ostravicí,22501.0,11116.0,11385.0,40.87069463579397,39.144296509535806,42.55630215195433,Moravskoslezský kraj,2007-01-01
8108,Havířov,98679.0,48549.0,50130.0,40.2410593946027,38.698335702074196,41.73512866546978,Moravskoslezský kraj,2007-01-01
8109,Hlučín,39723.0,19425.0,20298.0,40.15491025350553,38.5848906048906,41.65740467041088,Moravskoslezský kraj,2007-01-01
8110,Jablunkov,22464.0,10979.0,11485.0,38.42427884615385,36.872893706166316,39.907313887679585,Moravskoslezský kraj,2007-01-01
8111,Karviná,73997.0,37077.0,36920.0,40.122052245361296,38.59364295924697,41.65696099674973,Moravskoslezský kraj,2007-01-01
8112,Kopřivnice,41621.0,20523.0,21098.0,38.540436318204755,37.192296447887735,39.85183429708977,Moravskoslezský kraj,2007-01-01
8113,Kravaře,21035.0,10374.0,10661.0,38.494152602804846,37.14449585502217,39.807475846543475,Moravskoslezský kraj,2007-01-01
8114,Krnov,42459.0,20908.0,21551.0,39.486457523728774,37.68715324277788,41.232077397800566,Moravskoslezský kraj,2007-01-01
8115,Nový Jičín,48217.0,23462.0,24755.0,39.07701640500238,37.53196658426392,40.541365380731165,Moravskoslezský kraj,2007-01-01
8116,Odry,17493.0,8643.0,8850.0,38.711799005316415,37.07352771028578,40.31175141242938,Moravskoslezský kraj,2007-01-01
8117,Opava,101771.0,49531.0,52240.0,39.74581658822258,38.06756374795582,41.33704058192956,Moravskoslezský kraj,2007-01-01
8118,Orlová,46417.0,22824.0,23593.0,38.40609044100222,36.92087276550999,39.842898317297504,Moravskoslezský kraj,2007-01-01
8119,Ostrava,337197.0,162954.0,174243.0,40.12027835360338,38.40060385139365,41.72853715787722,Moravskoslezský kraj,2007-01-01
