"year","ico","lg_tangible_assets_CZK"
"2010","00279943",1975273000
"2010","00279978",1353594000
"2010","44992785",60997810000
"2010","00282979",399192000
"2010","00283509",636435000
"2010","00282707",726931000
"2010","00282651",792127000
"2010","00281859",887737000
"2010","00281964",872269000
"2010","00283061",2356603000
"2010","00283347",843786000
"2010","00283193",466386000
"2010","00282481",447305000
"2010","00285455",1125273000
"2010","00285030",1435097000
"2010","00284891",2516484000
"2010","00292311",729246000
"2010","00292427",1578136000
"2010","00291676",454206000
"2010","00293881",3600799000
"2010","00293199",237923000
"2010","00284301",1451674000
"2010","00284611",664566870
"2010","00284653",95684000
"2010","00284165",1354774000
"2010","00283924",9133090370
"2010","00287113",814999740
"2010","00287351",2282579250
"2010","00291463",2388153000
"2010","00291471",3526522000
"2010","00287172",1161430000
"2010","00304450",2042713680
"2010","00304387",3225908110
"2010","00269247",1571861000
"2010","00304271",980167950
"2010","00268810",9519945000
"2010","00271560",891490000
"2010","00271632",2694404000
"2010","00271888",676003000
"2010","00272868",1829776000
"2010","00272876",850683000
"2010","00272523",673777000
"2010","00272728",1868097000
"2010","00274968",820549000
"2010","00274879",789098000
"2010","00275336",1910870000
"2010","00277819",2704661000
"2010","00278360",3229096000
"2010","00278475",2357302000
"2010","00248266",1038080000
"2010","00248789",848171000
"2010","00248801",2299054000
"2010","00267449",2379444000
"2010","00267538",775229000
"2010","00268321",771928000
"2010","00286745",862585060
"2010","00286010",5367492000
"2010","00289931",687183000
"2010","00289965",430710000
"2010","00290629",3555663000
"2010","00295841",2521960000
"2010","00295671",1324101000
"2010","00294136",1559363000
"2010","00294900",792947000
"2010","00270059",1132655000
"2010","00270211",2701948000
"2010","00273571",564304000
"2010","00276944",2076953000
"2010","00278653",1573264000
"2010","00279676",1150175000
"2010","00279072",877266000
"2010","00279846",862744000
"2010","00277177",1560883000
"2010","00277444",1636503000
"2010","00274046",10642835000
"2010","00277037",1414383000
"2010","00274101",758361000
"2010","00279102",1243429000
"2010","00288659",4514710440
"2010","00288365",411870870
"2010","00299529",1167772380
"2010","00279773",1693732000
"2010","00301825",3536599580
"2010","00303038",1287430000
"2010","00303640",1029968000
"2010","00299634",1612679180
"2010","00301311",1382323000
"2010","00299138",1391758180
"2010","00301493",578403730
"2010","00299308",13369917000
"2010","00303461",2627745250
"2010","00302724",818827630
"2010","00297577",1809374240
"2010","00297569",2218317380
"2010","00297437",1388158940
"2010","00295892",1482632320
"2010","00296643",3526803700
"2010","00296317",1279409740
"2010","00296651",755142440
"2010","00296759",591008160
"2010","00296139",2603513250
"2010","00297313",2911884960
"2010","00845451",44261677200
"2010","00300535",7079470300
"2010","00300292",841556810
"2010","00298212",2023114000
"2010","00298221",819124580
"2010","00297534",4606011000
"2010","00297488",4882980500
"2010","00298077",1947843970
"2010","00297852",1393525000
"2010","00300870",589110980
"2010","00300063",726121620
"2010","00297755",693056860
"2010","00253901",961541000
"2010","00253979",3433662460
"2010","00254061",1895671960
"2010","00254843",2039068450
"2010","00254657",10063327640
"2010","00259438",293082000
"2010","00259586",2495159000
"2010","00260428",3392324000
"2010","00262340",4906911000
"2010","00260771",1221424000
"2010","00262587",549499000
"2010","00262781",719629000
"2010","00262633",685545000
"2010","00262978",12224497000
"2010","00275808",592524350
"2010","00276227",1043836840
"2010","00276111",686888000
"2010","00261718",1217817000
"2010","00261602",1190756000
"2010","00261238",3535761000
"2010","00261912",2179862000
"2010","00261891",4789596000
"2010","00264334",709036000
"2010","00263958",2903735000
"2010","00263991",987084000
"2010","00265209",1461299000
"2010","00265365",972313000
"2010","00265781",1685440000
"2010","00266027",2169599000
"2010","00266230",1047100000
"2010","00266094",7773932000
"2010","00266621",2492557000
"2010","00081531",5657633000
"2010","00253316",2809218000
"2010","00253383",834320860
"2010","00255513",1184701000
"2010","00255661",3707772000
"2010","00075370",32030062000
"2010","00256129",1853052000
"2010","00256455",563967000
"2010","00257125",1066398000
"2010","00257265",557231000
"2010","00257966",425812000
"2010","00258199",479306000
"2010","00256986",621797000
"2010","00259047",1951958000
"2010","00260177",1327375000
"2010","00260231",2691540000
"2010","00245585",1156105210
"2010","00245836",2405626000
"2010","00245941",836165000
"2010","00245551",522101000
"2010","00244732",11103600810
"2010","00246476",856624000
"2010","00246875",3044053000
"2010","00249831",902228160
"2010","00249998",5010450000
"2010","00247618",2376117700
"2010","00250627",2213599250
"2010","00250805",1330176650
"2010","00251984",924322110
"2010","00232947",1611149000
"2010","00232963",522903000
"2010","00231401",2649051140
"2010","00233129",1951793000
"2010","00233242",438456980
"2010","00253014",4189762940
"2010","00252921",879847000
"2010","00251810",3592216000
"2010","00250996",735909090
"2010","00235334",422057650
"2010","00234516",6402304000
"2010","00234877",2208266000
"2010","00236021",2459124000
"2010","00236195",2008065000
"2010","00235440",5532408400
"2010","00238309",904263000
"2010","00236977",1483075720
"2010","00237051",1890826000
"2010","00237108",1303189900
"2010","00239500",1842416830
"2010","00238295",4728488000
"2010","00239402",1165829000
"2010","00241121",611309210
"2010","00239640",1891680000
"2010","00240079",2170836450
"2010","00240702",2378898710
"2010","00243132",4418506000
"2010","00243272",988309000
"2010","00244309",1837781050
"2010","00242098",1160312000
"2011","00236977",1190111384.38
"2011","00237051",2616067629.93
"2011","00237108",1042581271.2
"2011","00236195",1856654039.21
"2011","00236021",2300452510.73
"2011","00233242",302822476.81
"2011","00233129",1577737724.32
"2011","00232947",1063067104.53
"2011","00232963",413689489.14
"2011","00239402",1001977699.27
"2011","00239500",1386684172.45
"2011","00231401",3140683693.78
"2011","00239640",1616136995.87
"2011","00235334",359558024.89
"2011","00235440",5557257254.78
"2011","00241121",564096198.1
"2011","00238309",790042908.2
"2011","00238295",3868546670.4
"2011","00234877",1930799292.86
"2011","00240079",1871507741.81
"2011","00240702",1938473074.89
"2011","00234516",5586883770.3
"2011","00245836",1521550480.69
"2011","00245941",661421447.68
"2011","00244309",1596038994.7
"2011","00249831",726498679.63
"2011","00249998",4094123939.55
"2011","00250627",1690579361.33
"2011","00250805",1042013099.95
"2011","00246476",604786629.67
"2011","00247618",1880605976.7
"2011","00246875",2524489547.45
"2011","00253383",746074637.89
"2011","00253316",2778544695.81
"2011","00243132",3282181584.51
"2011","00243272",899102455.98
"2011","00251984",687230740.53
"2011","00242098",930682251.66
"2011","00245585",797328257.75
"2011","00251810",2945996995.48
"2011","00250996",478683970.57
"2011","00245551",426355918.07
"2011","00244732",9259581497.9
"2011","00253014",3840820904.66
"2011","00252921",769544180.48
"2011","00257265",457260275.16
"2011","00256455",471564143.98
"2011","00257125",752813607.3
"2011","00256986",557567754.31
"2011","00075370",23002329957.76
"2011","00255513",903203416.57
"2011","00255661",2793579441.93
"2011","00256129",1435054499.64
"2011","00260177",991963944.71
"2011","00260231",2451816854.06
"2011","00259047",1632835244.01
"2011","00257966",339027101.33
"2011","00258199",425362590.83
"2011","00253979",2825896002.31
"2011","00254061",1577324617.48
"2011","00253901",624362167.99
"2011","00259586",1742053422
"2011","00259438",242644038.62
"2011","00254843",1768451585.2
"2011","00254657",9976902449.97
"2011","00266094",5953131865.88
"2011","00266027",1608174062.61
"2011","00266230",681658778.24
"2011","00261912",1917836898.86
"2011","00261891",3976009821.35
"2011","00261602",796273219.9
"2011","00261718",922289114.66
"2011","00265781",1337200268.54
"2011","00261238",3775789268.01
"2011","00265209",1063637198.36
"2011","00265365",742293526.89
"2011","00266621",1665377768
"2011","00081531",3618396848.17
"2011","00263958",2275718357.05
