"ico","year","lt_tangible_assets_CZK"
"00284653","2007/12",149657750
"00293199","2007/12",275976990
"00283193","2007/12",392442790
"00289965","2007/12",391215880
"00282979","2007/12",330421540
"00259438","2007/12",361338930
"00288365","2007/12",370155640
"00235334","2007/12",369418380
"00257966","2007/12",389591550
"00291676","2007/12",406440250
"00300292","2007/12",472368280
"00279072","2007/12",430737240
"00232963","2007/12",420230650
"00282481","2007/12",474997620
"00262781","2007/12",534907080
"00258199","2007/12",463139070
"00256455","2007/12",474089080
"00262587","2007/12",488201550
"00273571","2007/12",501435120
"00264334","2007/12",637716380
"00296759","2007/12",499548870
"00301493","2007/12",561664350
"00272523","2007/12",596156860
"00257265","2007/12",511546970
"00241121","2007/12",561605930
"00300870","2007/12",540382210
"00276111","2007/12",572132110
"00256986","2007/12",561737250
"00245551","2007/12",551566600
"00286745","2007/12",617372470
"00274101","2007/12",618719940
"00268321","2007/12",602507140
"00298221","2007/12",658003090
"00300063","2007/12",613052480
"00297755","2007/12",636320010
"00289931","2007/12",676343780
"00233242","2007/12",634195770
"00292311","2007/12",614973140
"00272876","2007/12",631726030
"00275808","2007/12",670562670
"00287113","2007/12",645579470
"00284611","2007/12",648768570
"00262633","2007/12",628999710
"00248789","2007/12",698637330
"00271888","2007/12",740686470
"00246476","2007/12",748286380
"00274879","2007/12",691961430
"00281964","2007/12",665865650
"00283347","2007/12",741322800
"00248266","2007/12",655658600
"00296651","2007/12",733331900
"00249831","2007/12",770798880
"00269247","2007/12",1390889260
"00284165","2007/12",734665860
"00271560","2007/12",618675540
"00242098","2007/12",757158420
"00283509","2007/12",778845800
"00266230","2007/12",768391980
"00282651","2007/12",782100380
"00252921","2007/12",823199750
"00285455","2007/12",829020160
"00282707","2007/12",808710490
"00267538","2007/12",852539030
"00251984","2007/12",840168410
"00287172","2007/12",869200990
"00260177","2007/12",1345817410
"00294900","2007/12",855842440
"00253383","2007/12",849556770
"00245941","2007/12",872085330
"00265365","2007/12",1051743970
"00279846","2007/12",845993050
"00274968","2007/12",833444400
"00238309","2007/12",868835470
"00296317","2007/12",906888460
"00302724","2007/12",939448900
"00250996","2007/12",880270220
"00281859","2007/12",847367870
"00253901","2007/12",894452100
"00243272","2007/12",949976850
"00263991","2007/12",858877860
"00260771","2007/12",940336950
"00257125","2007/12",960694440
"00239402","2007/12",1008934040
"00279676","2007/12",1115358920
"00255513","2007/12",1109973430
"00303640","2007/12",899193600
"00297437","2007/12",958830870
"00261602","2007/12",1107694150
"00232947","2007/12",1267344380
"00284301","2007/12",1261390560
"00299529","2007/12",1157166990
"00304271","2007/12",1174827790
"00279102","2007/12",1192398700
"00297852","2007/12",1228711300
"00279978","2007/12",1258676060
"00278653","2007/12",1263734740
"00245585","2007/12",1263757360
"00250805","2007/12",1182909300
"00237108","2007/12",1267634520
"00303038","2007/12",1245322450
"00295892","2007/12",1434279820
"00277037","2007/12",1262661060
"00261718","2007/12",1274222640
"00294136","2007/12",1334369470
"00299138","2007/12",1264267610
"00270059","2007/12",1313915900
"00285030","2007/12",1334026720
"00279773","2007/12",1340960900
"00295671","2007/12",1343073100
"00265781","2007/12",1346137820
"00265209","2007/12",1401500280
"00277444","2007/12",1625017920
"00299634","2007/12",1409266390
"00236977","2007/12",1407417940
"00237051","2007/12",1583217030
"00292427","2007/12",1466358620
"00301311","2007/12",1388155720
"00297577","2007/12",1492961980
"00233129","2007/12",1768682880
"00276227","2007/12",1537149860
"00272868","2007/12",1621561080
"00231401","2007/12",2213416680
"00239640","2007/12",1610374890
"00244309","2007/12",1647207900
"00272728","2007/12",1574735420
"00239500","2007/12",1713215470
"00278475","2007/12",1661744440
"00254843","2007/12",1764550120
"00277177","2007/12",1474427650
"00275336","2007/12",1721293400
"00256129","2007/12",1688533980
"00301825","2007/12",1997143690
"00277819","2007/12",1771918790
"00240079","2007/12",1834492740
"00279943","2007/12",1832256200
"00254061","2007/12",1870276630
"00304450","2007/12",1849070760
"00276944","2007/12",1845136870
"00261912","2007/12",1753701370
"00298077","2007/12",1848146400
"00297569","2007/12",1994876480
"00248801","2007/12",1927853110
"00266027","2007/12",1876529570
"00236195","2007/12",1871619270
"00247618","2007/12",1962529800
"00267449","2007/12",2295892900
"00259047","2007/12",1986342870
"00234877","2007/12",1894837410
