"ico","year","Class of revenue","Revenue_CZK"
"00075370","2007/12","Daňové příjmy",3506289910
"00075370","2007/12","Kapitálové příjmy",254559860
"00075370","2007/12","Nedaňové příjmy",802475750
"00081531","2007/12","Daňové příjmy",1197814220
"00081531","2007/12","Kapitálové příjmy",5121600
"00081531","2007/12","Nedaňové příjmy",69915260
"00231401","2007/12","Daňové příjmy",193413950
"00231401","2007/12","Kapitálové příjmy",8194420
"00231401","2007/12","Nedaňové příjmy",128981260
"00232947","2007/12","Daňové příjmy",115317820
"00232947","2007/12","Kapitálové příjmy",979470
"00232947","2007/12","Nedaňové příjmy",44410530
"00232963","2007/12","Daňové příjmy",49519360
"00232963","2007/12","Kapitálové příjmy",9890620
"00232963","2007/12","Nedaňové příjmy",21964770
"00233129","2007/12","Daňové příjmy",212261560
"00233129","2007/12","Kapitálové příjmy",111723180
"00233129","2007/12","Nedaňové příjmy",22081170
"00233242","2007/12","Daňové příjmy",77220570
"00233242","2007/12","Kapitálové příjmy",4990040
"00233242","2007/12","Nedaňové příjmy",5241580
"00234516","2007/12","Daňové příjmy",805503650
"00234516","2007/12","Kapitálové příjmy",78379390
"00234516","2007/12","Nedaňové příjmy",161256650
"00234877","2007/12","Daňové příjmy",163112110
"00234877","2007/12","Kapitálové příjmy",36305610
"00234877","2007/12","Nedaňové příjmy",10385480
"00235334","2007/12","Daňové příjmy",66841340
"00235334","2007/12","Kapitálové příjmy",1595000
"00235334","2007/12","Nedaňové příjmy",3557470
"00235440","2007/12","Daňové příjmy",352533080
"00235440","2007/12","Kapitálové příjmy",143560040
"00235440","2007/12","Nedaňové příjmy",179027920
"00236021","2007/12","Daňové příjmy",128777040
"00236021","2007/12","Kapitálové příjmy",22510000
"00236021","2007/12","Nedaňové příjmy",41968810
"00236195","2007/12","Daňové příjmy",233108850
"00236195","2007/12","Kapitálové příjmy",74901450
"00236195","2007/12","Nedaňové příjmy",85945560
"00236977","2007/12","Daňové příjmy",180391930
"00236977","2007/12","Nedaňové příjmy",31539840
"00237051","2007/12","Daňové příjmy",201920580
"00237051","2007/12","Kapitálové příjmy",9565230
"00237051","2007/12","Nedaňové příjmy",25159000
"00237108","2007/12","Daňové příjmy",163605950
"00237108","2007/12","Kapitálové příjmy",2383200
"00237108","2007/12","Nedaňové příjmy",9031720
"00238295","2007/12","Daňové příjmy",566591700
"00238295","2007/12","Kapitálové příjmy",85873440
"00238295","2007/12","Nedaňové příjmy",34054270
"00238309","2007/12","Daňové příjmy",79640890
"00238309","2007/12","Kapitálové příjmy",2171800
"00238309","2007/12","Nedaňové příjmy",4108470
"00239402","2007/12","Daňové příjmy",80025020
"00239402","2007/12","Kapitálové příjmy",11087160
"00239402","2007/12","Nedaňové příjmy",6763640
"00239500","2007/12","Daňové příjmy",157978810
"00239500","2007/12","Kapitálové příjmy",27683300
"00239500","2007/12","Nedaňové příjmy",28252580
"00239640","2007/12","Daňové příjmy",150120900
"00239640","2007/12","Kapitálové příjmy",3367420
"00239640","2007/12","Nedaňové příjmy",17230380
"00240079","2007/12","Daňové příjmy",181145670
"00240079","2007/12","Kapitálové příjmy",8374590
"00240079","2007/12","Nedaňové příjmy",53772380
"00240702","2007/12","Daňové příjmy",149734270
"00240702","2007/12","Kapitálové příjmy",10130500
"00240702","2007/12","Nedaňové příjmy",44631440
"00241121","2007/12","Daňové příjmy",102425020
"00241121","2007/12","Kapitálové příjmy",14049830
"00241121","2007/12","Nedaňové příjmy",28473320
"00242098","2007/12","Daňové příjmy",81534240
"00242098","2007/12","Kapitálové příjmy",30638470
"00242098","2007/12","Nedaňové příjmy",13273050
"00243132","2007/12","Daňové příjmy",383607170
"00243132","2007/12","Kapitálové příjmy",51601190
"00243132","2007/12","Nedaňové příjmy",93929130
"00243272","2007/12","Daňové příjmy",73896790
"00243272","2007/12","Kapitálové příjmy",2600840
"00243272","2007/12","Nedaňové příjmy",36486540
"00244309","2007/12","Daňové příjmy",175957090
"00244309","2007/12","Kapitálové příjmy",34779640
"00244309","2007/12","Nedaňové příjmy",23853770
"00244732","2007/12","Daňové příjmy",1164135290
"00244732","2007/12","Kapitálové příjmy",53459270
"00244732","2007/12","Nedaňové příjmy",343411140
"00245551","2007/12","Daňové příjmy",43636110
"00245551","2007/12","Kapitálové příjmy",254430
"00245551","2007/12","Nedaňové příjmy",29051850
"00245585","2007/12","Daňové příjmy",78185330
"00245585","2007/12","Kapitálové příjmy",12411110
"00245585","2007/12","Nedaňové příjmy",16345500
"00245836","2007/12","Daňové příjmy",155389440
