"year","ico","class_of_revenue","Revenue_CZK"
"2010","00075370","Daňové příjmy",3425751710
"2010","00075370","Kapitálové příjmy",201939020
"2010","00075370","Nedaňové příjmy",1202131680
"2010","00081531","Daňové příjmy",1129930720
"2010","00081531","Kapitálové příjmy",10375550
"2010","00081531","Nedaňové příjmy",44708960
"2010","00231401","Daňové příjmy",193442660
"2010","00231401","Kapitálové příjmy",5884790
"2010","00231401","Nedaňové příjmy",14753200
"2010","00232947","Daňové příjmy",113672520
"2010","00232947","Kapitálové příjmy",6259140
"2010","00232947","Nedaňové příjmy",46919620
"2010","00232963","Daňové příjmy",56486840
"2010","00232963","Kapitálové příjmy",1040220
"2010","00232963","Nedaňové příjmy",30159180
"2010","00233129","Daňové příjmy",202622170
"2010","00233129","Kapitálové příjmy",16239620
"2010","00233129","Nedaňové příjmy",20851410
"2010","00233242","Daňové příjmy",77117120
"2010","00233242","Kapitálové příjmy",6094960
"2010","00233242","Nedaňové příjmy",8674710
"2010","00234516","Daňové příjmy",766206800
"2010","00234516","Kapitálové příjmy",96354970
"2010","00234516","Nedaňové příjmy",162233130
"2010","00234877","Daňové příjmy",160201480
"2010","00234877","Kapitálové příjmy",9067150
"2010","00234877","Nedaňové příjmy",14685980
"2010","00235334","Daňové příjmy",72106400
"2010","00235334","Kapitálové příjmy",164640
"2010","00235334","Nedaňové příjmy",3604960
"2010","00235440","Daňové příjmy",363183880
"2010","00235440","Kapitálové příjmy",68338820
"2010","00235440","Nedaňové příjmy",220575350
"2010","00236021","Daňové příjmy",143501650
"2010","00236021","Kapitálové příjmy",87194240
"2010","00236021","Nedaňové příjmy",57292550
"2010","00236195","Daňové příjmy",224476500
"2010","00236195","Kapitálové příjmy",12264310
"2010","00236195","Nedaňové příjmy",76483810
"2010","00236977","Daňové příjmy",187864040
"2010","00236977","Kapitálové příjmy",210310
"2010","00236977","Nedaňové příjmy",36603960
"2010","00237051","Daňové příjmy",200231620
"2010","00237051","Kapitálové příjmy",66460130
"2010","00237051","Nedaňové příjmy",30519330
"2010","00237108","Daňové příjmy",160786280
"2010","00237108","Kapitálové příjmy",954240
"2010","00237108","Nedaňové příjmy",8376220
"2010","00238295","Daňové příjmy",526464480
"2010","00238295","Kapitálové příjmy",45031010
"2010","00238295","Nedaňové příjmy",29574280
"2010","00238309","Daňové příjmy",83697920
"2010","00238309","Kapitálové příjmy",4227230
"2010","00238309","Nedaňové příjmy",7249840
"2010","00239402","Daňové příjmy",83969830
"2010","00239402","Kapitálové příjmy",7966530
"2010","00239402","Nedaňové příjmy",13100360
"2010","00239500","Daňové příjmy",155233090
"2010","00239500","Kapitálové příjmy",10260260
"2010","00239500","Nedaňové příjmy",34124140
"2010","00239640","Daňové příjmy",148104270
"2010","00239640","Kapitálové příjmy",6763960
"2010","00239640","Nedaňové příjmy",21787360
"2010","00240079","Daňové příjmy",219166310
"2010","00240079","Kapitálové příjmy",30990540
"2010","00240079","Nedaňové příjmy",68563010
"2010","00240702","Daňové příjmy",171083440
"2010","00240702","Kapitálové příjmy",15668560
"2010","00240702","Nedaňové příjmy",53404500
"2010","00241121","Daňové příjmy",90696090
"2010","00241121","Kapitálové příjmy",12600730
"2010","00241121","Nedaňové příjmy",40231100
"2010","00242098","Daňové příjmy",80094030
"2010","00242098","Kapitálové příjmy",13493410
"2010","00242098","Nedaňové příjmy",16961700
"2010","00243132","Daňové příjmy",359741890
