"ico","year","Saldo_CZK"
"00075370","2007/12",105212640
"00081531","2007/12",-220943280
"00231401","2007/12",17538080
"00232947","2007/12",-5972700
"00232963","2007/12",7749750
"00233129","2007/12",-76668960
"00233242","2007/12",4569630
"00234516","2007/12",12144840
"00234877","2007/12",12703730
"00235334","2007/12",2632370
"00235440","2007/12",-60190830
"00236021","2007/12",23290340
"00236195","2007/12",24517300
"00236977","2007/12",21853680
"00237051","2007/12",37802860
"00237108","2007/12",-5153580
"00238295","2007/12",5436610
"00238309","2007/12",11410090
"00239402","2007/12",6420510
"00239500","2007/12",-146101840
"00239640","2007/12",7624360
"00240079","2007/12",49076390
"00240702","2007/12",-14596190
"00241121","2007/12",-2646330
"00242098","2007/12",10355330
"00243132","2007/12",-47047510
"00243272","2007/12",11018500
"00244309","2007/12",34171760
"00244732","2007/12",57319460
"00245551","2007/12",12329620
"00245585","2007/12",-6021300
"00245836","2007/12",32652510
"00245941","2007/12",-15925400
"00246476","2007/12",-39186300
"00246875","2007/12",62638780
"00247618","2007/12",39308950
"00248266","2007/12",22406820
"00248789","2007/12",-5717840
"00248801","2007/12",17744330
"00249831","2007/12",7317040
"00249998","2007/12",142888390
"00250627","2007/12",-15802210
"00250805","2007/12",6119810
"00250996","2007/12",17750570
"00251810","2007/12",-18693600
"00251984","2007/12",7886300
"00252921","2007/12",7663100
"00253014","2007/12",20453780
"00253316","2007/12",47143100
"00253383","2007/12",-4907250
"00253901","2007/12",31603960
"00253979","2007/12",23724450
"00254061","2007/12",-18128930
"00254657","2007/12",167058870
"00254843","2007/12",28776060
"00255513","2007/12",-25123320
"00255661","2007/12",-8497040
"00256129","2007/12",35250150
"00256455","2007/12",10757590
"00256986","2007/12",17240880
"00257125","2007/12",17487290
"00257265","2007/12",-425600
"00257966","2007/12",938650
"00258199","2007/12",8776060
"00259047","2007/12",92456830
"00259438","2007/12",1784300
"00259586","2007/12",67921080
"00260177","2007/12",-14348380
"00260231","2007/12",19370740
"00260428","2007/12",71349010
"00260771","2007/12",27594700
"00261238","2007/12",-90303970
"00261602","2007/12",8057480
"00261718","2007/12",26267620
"00261891","2007/12",49208810
"00261912","2007/12",8230850
"00262340","2007/12",81122410
"00262587","2007/12",8275850
"00262633","2007/12",15063750
"00262781","2007/12",25341000
"00262978","2007/12",31444260
"00263958","2007/12",8742000
"00263991","2007/12",47422410
"00264334","2007/12",-788040
"00265209","2007/12",-38405270
"00265365","2007/12",37426070
"00265781","2007/12",31030150
"00266027","2007/12",3936160
"00266094","2007/12",99512120
"00266230","2007/12",31530600
"00266621","2007/12",-96271420
"00267449","2007/12",-27434590
"00267538","2007/12",8324910
"00268321","2007/12",-16662070
"00268810","2007/12",-89220730
"00269247","2007/12",11543770
"00270059","2007/12",-2442980
"00270211","2007/12",-13772390
"00271560","2007/12",-1262710
"00271632","2007/12",96329280
"00271888","2007/12",12185120
"00272523","2007/12",143230
"00272728","2007/12",13639530
"00272868","2007/12",-20322350
"00272876","2007/12",9183150
"00273571","2007/12",4349970
"00274046","2007/12",91451960
"00274101","2007/12",5948480
"00274879","2007/12",22522290
"00274968","2007/12",2217330
"00275336","2007/12",11428680
"00275808","2007/12",1859830
"00276111","2007/12",13824160
"00276227","2007/12",-46666960
"00276944","2007/12",15667620
"00277037","2007/12",17551350
"00277177","2007/12",33067840
"00277444","2007/12",-41880500
"00277819","2007/12",13954480
"00278360","2007/12",7207330
"00278475","2007/12",29728870
"00278653","2007/12",-3712970
"00279072","2007/12",4838400
"00279102","2007/12",10178540
"00279676","2007/12",-6968890
"00279773","2007/12",10602280
"00279846","2007/12",4202800
"00279943","2007/12",31411340
"00279978","2007/12",-14649000
"00281859","2007/12",1445530
"00281964","2007/12",-7669860
"00282481","2007/12",7625760
"00282651","2007/12",1519050
"00282707","2007/12",-2933990
"00282979","2007/12",3969870
"00283061","2007/12",37814100
"00283193","2007/12",-1512610
"00283347","2007/12",4214090
"00283509","2007/12",12413470
"00283924","2007/12",72793060
"00284165","2007/12",9797220
"00284301","2007/12",16827280
"00284611","2007/12",7056480
"00284653","2007/12",-109210
"00284891","2007/12",87056980
"00285030","2007/12",-19258370
"00285455","2007/12",14546190
"00286010","2007/12",122189680
"00286745","2007/12",13037270
"00287113","2007/12",10605270
"00287172","2007/12",29215240
"00287351","2007/12",-18905710
"00288365","2007/12",5880260
"00288659","2007/12",-90299270
"00289931","2007/12",5605460
"00289965","2007/12",-4316330
"00290629","2007/12",80876600
"00291463","2007/12",17251480
"00291471","2007/12",151981980
"00291676","2007/12",6872790
"00292311","2007/12",4105360
"00292427","2007/12",116708880
"00293199","2007/12",-6370370
"00293881","2007/12",1526510
"00294136","2007/12",-44860
"00294900","2007/12",-12721780
"00295671","2007/12",23784690
"00295841","2007/12",-70607690
"00295892","2007/12",6028360
"00296139","2007/12",27114920
"00296317","2007/12",-292810
"00296643","2007/12",31485210
"00296651","2007/12",869590
"00296759","2007/12",10396510
"00297313","2007/12",74144050
"00297437","2007/12",22645080
"00297488","2007/12",-114494500
"00297534","2007/12",-1337220
"00297569","2007/12",-22676930
"00297577","2007/12",-20063250
"00297755","2007/12",2995420
"00297852","2007/12",-24132260
"00298077","2007/12",15636340
"00298212","2007/12",62801730
"00298221","2007/12",-18186090
"00299138","2007/12",33269990
"00299308","2007/12",-48377650
"00299529","2007/12",63467110
"00299634","2007/12",16225730
"00300063","2007/12",-12193890
"00300292","2007/12",-23925260
"00300535","2007/12",29302960
"00300870","2007/12",10924620
"00301311","2007/12",5564990
"00301493","2007/12",1140810
"00301825","2007/12",340420
"00302724","2007/12",20113000
"00303038","2007/12",-632770
"00303461","2007/12",11256550
"00303640","2007/12",50480040
"00304271","2007/12",29380910
"00304387","2007/12",60156630
"00304450","2007/12",21040860
"00845451","2007/12",706728830
"44992785","2007/12",241175340
"00075370","2008/12",-110190760
"00081531","2008/12",-5633070
"00231401","2008/12",36498230
"00232947","2008/12",-4001470
"00232963","2008/12",10569420
"00233129","2008/12",28042400
"00233242","2008/12",10450330
"00234516","2008/12",147689280
"00234877","2008/12",-2467000
"00235334","2008/12",-104730
"00235440","2008/12",40550100
"00236021","2008/12",69293980
"00236195","2008/12",41926150
"00236977","2008/12",10236930
"00237051","2008/12",-10803260
"00237108","2008/12",6803820
"00238295","2008/12",53289480
"00238309","2008/12",3220910
"00239402","2008/12",18382150
"00239500","2008/12",6015650
"00239640","2008/12",30644250
"00240079","2008/12",38482180
"00240702","2008/12",9298530
"00241121","2008/12",-20470380
"00242098","2008/12",13332770
"00243132","2008/12",21040610
"00243272","2008/12",11789180
"00244309","2008/12",20130510
"00244732","2008/12",-39887780
"00245551","2008/12",18895930
"00245585","2008/12",39095840
"00245836","2008/12",-21663260
"00245941","2008/12",-3848850
"00246476","2008/12",19211880
"00246875","2008/12",73198190
"00247618","2008/12",39391980
"00248266","2008/12",-25749180
"00248789","2008/12",-356220
"00248801","2008/12",13815650
"00249831","2008/12",-220880
"00249998","2008/12",184098980
"00250627","2008/12",-1940900
"00250805","2008/12",25015040
"00250996","2008/12",-1289140
