"","ico","year","Saldo_CZK"
"1",75370,2007,105212640
"2",81531,2007,-220943280
"3",231401,2007,17538080
"4",232947,2007,-5972700
"5",232963,2007,7749750
"6",233129,2007,-76668960
"7",233242,2007,4569630
"8",234516,2007,12144840
"9",234877,2007,12703730
"10",235334,2007,2632370
"11",235440,2007,-60190830
"12",236021,2007,23290340
"13",236195,2007,24517300
"14",236977,2007,21853680
"15",237051,2007,37802860
"16",237108,2007,-5153580
"17",238295,2007,5436610
"18",238309,2007,11410090
"19",239402,2007,6420510
"20",239500,2007,-146101840
"21",239640,2007,7624360
"22",240079,2007,49076390
"23",240702,2007,-14596190
"24",241121,2007,-2646330
"25",242098,2007,10355330
"26",243132,2007,-47047510
"27",243272,2007,11018500
"28",244309,2007,34171760
"29",244732,2007,57319460
"30",245551,2007,12329620
"31",245585,2007,-6021300
"32",245836,2007,32652510
"33",245941,2007,-15925400
"34",246476,2007,-39186300
"35",246875,2007,62638780
"36",247618,2007,39308950
"37",248266,2007,22406820
"38",248789,2007,-5717840
"39",248801,2007,17744330
"40",249831,2007,7317040
"41",249998,2007,142888390
"42",250627,2007,-15802210
"43",250805,2007,6119810
"44",250996,2007,17750570
"45",251810,2007,-18693600
"46",251984,2007,7886300
"47",252921,2007,7663100
"48",253014,2007,20453780
"49",253316,2007,47143100
"50",253383,2007,-4907250
"51",253901,2007,31603960
"52",253979,2007,23724450
"53",254061,2007,-18128930
"54",254657,2007,167058870
"55",254843,2007,28776060
"56",255513,2007,-25123320
"57",255661,2007,-8497040
"58",256129,2007,35250150
"59",256455,2007,10757590
"60",256986,2007,17240880
"61",257125,2007,17487290
"62",257265,2007,-425600
"63",257966,2007,938650
"64",258199,2007,8776060
"65",259047,2007,92456830
"66",259438,2007,1784300
"67",259586,2007,67921080
"68",260177,2007,-14348380
"69",260231,2007,19370740
"70",260428,2007,71349010
"71",260771,2007,27594700
"72",261238,2007,-90303970
"73",261602,2007,8057480
"74",261718,2007,26267620
"75",261891,2007,49208810
"76",261912,2007,8230850
"77",262340,2007,81122410
"78",262587,2007,8275850
"79",262633,2007,15063750
"80",262781,2007,25341000
"81",262978,2007,31444260
"82",263958,2007,8742000
"83",263991,2007,47422410
"84",264334,2007,-788040
"85",265209,2007,-38405270
"86",265365,2007,37426070
"87",265781,2007,31030150
"88",266027,2007,3936160
"89",266094,2007,99512120
"90",266230,2007,31530600
"91",266621,2007,-96271420
"92",267449,2007,-27434590
"93",267538,2007,8324910
"94",268321,2007,-16662070
"95",268810,2007,-89220730
"96",269247,2007,11543770
"97",270059,2007,-2442980
"98",270211,2007,-13772390
"99",271560,2007,-1262710
"100",271632,2007,96329280
"101",271888,2007,12185120
"102",272523,2007,143230
"103",272728,2007,13639530
"104",272868,2007,-20322350
"105",272876,2007,9183150
"106",273571,2007,4349970
"107",274046,2007,91451960
"108",274101,2007,5948480
"109",274879,2007,22522290
"110",274968,2007,2217330
"111",275336,2007,11428680
"112",275808,2007,1859830
"113",276111,2007,13824160
"114",276227,2007,-46666960
"115",276944,2007,15667620
"116",277037,2007,17551350
"117",277177,2007,33067840
"118",277444,2007,-41880500
"119",277819,2007,13954480
"120",278360,2007,7207330
"121",278475,2007,29728870
"122",278653,2007,-3712970
"123",279072,2007,4838400
"124",279102,2007,10178540
"125",279676,2007,-6968890
"126",279773,2007,10602280
"127",279846,2007,4202800
"128",279943,2007,31411340
"129",279978,2007,-14649000
"130",281859,2007,1445530
"131",281964,2007,-7669860
"132",282481,2007,7625760
"133",282651,2007,1519050
"134",282707,2007,-2933990
"135",282979,2007,3969870
"136",283061,2007,37814100
"137",283193,2007,-1512610
"138",283347,2007,4214090
"139",283509,2007,12413470
"140",283924,2007,72793060
"141",284165,2007,9797220
"142",284301,2007,16827280
"143",284611,2007,7056480
"144",284653,2007,-109210
"145",284891,2007,87056980
"146",285030,2007,-19258370
"147",285455,2007,14546190
"148",286010,2007,122189680
"149",286745,2007,13037270
"150",287113,2007,10605270
"151",287172,2007,29215240
"152",287351,2007,-18905710
"153",288365,2007,5880260
"154",288659,2007,-90299270
"155",289931,2007,5605460
"156",289965,2007,-4316330
"157",290629,2007,80876600
"158",291463,2007,17251480
"159",291471,2007,151981980
"160",291676,2007,6872790
"161",292311,2007,4105360
"162",292427,2007,116708880
"163",293199,2007,-6370370
"164",293881,2007,1526510
"165",294136,2007,-44860
"166",294900,2007,-12721780
"167",295671,2007,23784690
"168",295841,2007,-70607690
"169",295892,2007,6028360
"170",296139,2007,27114920
"171",296317,2007,-292810
"172",296643,2007,31485210
"173",296651,2007,869590
"174",296759,2007,10396510
"175",297313,2007,74144050
"176",297437,2007,22645080
"177",297488,2007,-114494500
"178",297534,2007,-1337220
"179",297569,2007,-22676930
"180",297577,2007,-20063250
"181",297755,2007,2995420
"182",297852,2007,-24132260
"183",298077,2007,15636340
"184",298212,2007,62801730
"185",298221,2007,-18186090
"186",299138,2007,33269990
"187",299308,2007,-48377650
"188",299529,2007,63467110
"189",299634,2007,16225730
"190",300063,2007,-12193890
"191",300292,2007,-23925260
"192",300535,2007,29302960
"193",300870,2007,10924620
"194",301311,2007,5564990
"195",301493,2007,1140810
"196",301825,2007,340420
"197",302724,2007,20113000
"198",303038,2007,-632770
"199",303461,2007,11256550
"200",303640,2007,50480040
"201",304271,2007,29380910
"202",304387,2007,60156630
"203",304450,2007,21040860
"204",845451,2007,706728830
"205",44992785,2007,241175340
"206",75370,2008,-110190760
"207",81531,2008,-5633070
"208",231401,2008,36498230
"209",232947,2008,-4001470
"210",232963,2008,10569420
"211",233129,2008,28042400
"212",233242,2008,10450330
"213",234516,2008,147689280
"214",234877,2008,-2467000
"215",235334,2008,-104730
"216",235440,2008,40550100
"217",236021,2008,69293980
"218",236195,2008,41926150
"219",236977,2008,10236930
"220",237051,2008,-10803260
"221",237108,2008,6803820
"222",238295,2008,53289480
"223",238309,2008,3220910
"224",239402,2008,18382150
"225",239500,2008,6015650
"226",239640,2008,30644250
"227",240079,2008,38482180
"228",240702,2008,9298530
"229",241121,2008,-20470380
"230",242098,2008,13332770
"231",243132,2008,21040610
"232",243272,2008,11789180
"233",244309,2008,20130510
"234",244732,2008,-39887780
"235",245551,2008,18895930
"236",245585,2008,39095840
"237",245836,2008,-21663260
"238",245941,2008,-3848850
"239",246476,2008,19211880
"240",246875,2008,73198190
"241",247618,2008,39391980
"242",248266,2008,-25749180
"243",248789,2008,-356220
"244",248801,2008,13815650
"245",249831,2008,-220880
"246",249998,2008,184098980
"247",250627,2008,-1940900
"248",250805,2008,25015040
"249",250996,2008,-1289140
"250",251810,2008,18502320
"251",251984,2008,11664070
"252",252921,2008,22741850
"253",253014,2008,119762380
"254",253316,2008,14916230
"255",253383,2008,-2415680
"256",253901,2008,31936110
"257",253979,2008,42474210
"258",254061,2008,-20508970
"259",254657,2008,-263999240
"260",254843,2008,29076140
"261",255513,2008,32434340
"262",255661,2008,-77335770
"263",256129,2008,49053230
"264",256455,2008,881040
"265",256986,2008,7792980
"266",257125,2008,4213050
"267",257265,2008,-5182310
"268",257966,2008,3454770
"269",258199,2008,13993720
"270",259047,2008,43966390
"271",259438,2008,-2377630
"272",259586,2008,49508540
"273",260177,2008,5486160
"274",260231,2008,16941530
"275",260428,2008,-151691620
"276",260771,2008,20797210
"277",261238,2008,107043370
"278",261602,2008,12893890
"279",261718,2008,20006940
"280",261891,2008,100072070
"281",261912,2008,-6928030
"282",262340,2008,65886690
"283",262587,2008,4327440
"284",262633,2008,-6364650
"285",262781,2008,9327830
"286",262978,2008,-44151490
"287",263958,2008,905450
"288",263991,2008,-9205850
"289",264334,2008,25645970
"290",265209,2008,25660650
"291",265365,2008,8331970
"292",265781,2008,15630260
"293",266027,2008,30802390
"294",266094,2008,-95832650
"295",266230,2008,58771520
"296",266621,2008,130293870
"297",267449,2008,183839890
"298",267538,2008,5089410
"299",268321,2008,-306440
"300",268810,2008,-75256930
"301",269247,2008,15377510
"302",270059,2008,13182610
"303",270211,2008,60640730
"304",271560,2008,27585950
"305",271632,2008,-14172430
"306",271888,2008,8765860
"307",272523,2008,-5472900
"308",272728,2008,3697520
"309",272868,2008,-4239480
"310",272876,2008,-604970
"311",273571,2008,-405790
"312",274046,2008,181183250
"313",274101,2008,1541890
"314",274879,2008,40524170
"315",274968,2008,5711860
"316",275336,2008,-3193900
"317",275808,2008,10033600
"318",276111,2008,8661510
"319",276227,2008,-9542570
"320",276944,2008,4593460
"321",277037,2008,7562280
"322",277177,2008,11745280
"323",277444,2008,61892240
"324",277819,2008,10827400
"325",278360,2008,-1942530
"326",278475,2008,-23172580
"327",278653,2008,37006850
"328",279072,2008,4583850
"329",279102,2008,24466020
"330",279676,2008,20241150
"331",279773,2008,22985280
"332",279846,2008,27063870
"333",279943,2008,9988740
"334",279978,2008,32688600
"335",281859,2008,9785560
"336",281964,2008,16444170
"337",282481,2008,-1001110
"338",282651,2008,20538130
"339",282707,2008,4467660
"340",282979,2008,-1904960
"341",283061,2008,-15079270
"342",283193,2008,23719510
"343",283347,2008,6496500
"344",283509,2008,-42960780
"345",283924,2008,30635950
"346",284165,2008,4912350
"347",284301,2008,-61758320
"348",284611,2008,15447600
"349",284653,2008,2653100
"350",284891,2008,-55496950
"351",285030,2008,-2747010
"352",285455,2008,27014530
"353",286010,2008,38078750
"354",286745,2008,-11492840
"355",287113,2008,-378860
"356",287172,2008,4167310
"357",287351,2008,13862430
"358",288365,2008,-21555050
"359",288659,2008,57908520
"360",289931,2008,27137980
"361",289965,2008,5175650
"362",290629,2008,53857900
"363",291463,2008,13325400
"364",291471,2008,15685360
"365",291676,2008,8044180
"366",292311,2008,3730060
"367",292427,2008,141649000
"368",293199,2008,2575470
"369",293881,2008,-9974760
"370",294136,2008,12735340
"371",294900,2008,136113630
"372",295671,2008,16978060
"373",295841,2008,268383280
"374",295892,2008,-24505650
"375",296139,2008,-1405370
"376",296317,2008,-5324520
"377",296643,2008,112116890
"378",296651,2008,6367510
"379",296759,2008,-3859840
"380",297313,2008,46953850
"381",297437,2008,-55470150
"382",297488,2008,-71474840
"383",297534,2008,-380742850
"384",297569,2008,12553070
"385",297577,2008,-8821870
"386",297755,2008,1207930
"387",297852,2008,19479650
"388",298077,2008,101767250
"389",298212,2008,61750890
"390",298221,2008,19403720
"391",299138,2008,20265710
"392",299308,2008,53011690
"393",299529,2008,-27234540
"394",299634,2008,6318820
"395",300063,2008,5762990
"396",300292,2008,-32431570
"397",300535,2008,44005540
"398",300870,2008,3532560
"399",301311,2008,15065120
"400",301493,2008,19109560
"401",301825,2008,22284430
"402",302724,2008,1567820
"403",303038,2008,7325520
"404",303461,2008,49895440
"405",303640,2008,43192030
"406",304271,2008,-6187510
"407",304387,2008,460570
"408",304450,2008,102293730
"409",845451,2008,552820900
"410",44992785,2008,582357930
"411",75370,2009,-1025449360
"412",81531,2009,-495272990
"413",231401,2009,20348100
"414",232947,2009,10037860
"415",232963,2009,-12249520
"416",233129,2009,-30015920
"417",233242,2009,-59424350
"418",234516,2009,-102293770
"419",234877,2009,-81980870
"420",235334,2009,-14902040
"421",235440,2009,76984340
"422",236021,2009,-34469430
"423",236195,2009,-56535460
"424",236977,2009,14524710
"425",237051,2009,-106744140
"426",237108,2009,18462940
"427",238295,2009,-108304230
"428",238309,2009,7622940
"429",239402,2009,-10930960
"430",239500,2009,21225040
"431",239640,2009,-5239800
"432",240079,2009,209535840
"433",240702,2009,-124521100
"434",241121,2009,-7437600
"435",242098,2009,-29210710
"436",243132,2009,-12669140
"437",243272,2009,-1432850
"438",244309,2009,-81096890
"439",244732,2009,-335758580
"440",245551,2009,-9812120
"441",245585,2009,-63392870
"442",245836,2009,15734750
"443",245941,2009,5810790
"444",246476,2009,-38951830
"445",246875,2009,-121368950
"446",247618,2009,46770820
"447",248266,2009,4105190
"448",248789,2009,-30620540
"449",248801,2009,-47014940
"450",249831,2009,-57669260
"451",249998,2009,25704940
"452",250627,2009,-57564060
"453",250805,2009,-2949330
"454",250996,2009,10906730
