"year","ico","Příjmy","Výdaje","saldo"
"2010","00075370",18919684440,18738374000,181310440
"2010","00081531",5855306580,5998163260,-142856680
"2010","00231401",993641070,1015490250,-21849180
"2010","00232947",836145820,843274310,-7128490
"2010","00232963",444417200,430785790,13631410
"2010","00233129",1237119130,1276460300,-39341170
"2010","00233242",471319670,481400330,-10080660
"2010","00234516",3317064630,3563607510,-246542880
"2010","00234877",945160910,980372650,-35211740
"2010","00235334",161912980,163078510,-1165530
"2010","00235440",1645154040,1593732100,51421940
"2010","00236021",1083756010,1138631790,-54875780
"2010","00236195",1376161530,1343540020,32621510
"2010","00236977",1286037750,1298989150,-12951400
"2010","00237051",1109322850,1075624750,33698100
"2010","00237108",803952070,833898230,-29946160
"2010","00238295",1863510190,2083432560,-219922370
"2010","00238309",412799210,405211940,7587270
"2010","00239402",448596410,460735930,-12139520
"2010","00239500",934849870,958625980,-23776110
"2010","00239640",839090600,824860430,14230170
"2010","00240079",1909653890,2062904660,-153250770
"2010","00240702",817879840,874235910,-56356070
"2010","00241121",789259050,794090080,-4831030
"2010","00242098",583775030,587385300,-3610270
"2010","00243132",1356462740,1238791840,117670900
"2010","00243272",447100790,420473670,26627120
"2010","00244309",977998440,981146500,-3148060
"2010","00244732",5451325980,5631465280,-180139300
"2010","00245551",296012620,289288580,6724040
"2010","00245585",510431360,436372690,74058670
"2010","00245836",882136220,882987370,-851150
"2010","00245941",206432160,198004230,8427930
"2010","00246476",489402860,463008720,26394140
"2010","00246875",1656451950,1520590580,135861370
"2010","00247618",1059280340,1079326620,-20046280
"2010","00248266",716696810,677141850,39554960
"2010","00248789",371017920,362151600,8866320
"2010","00248801",693482510,707816230,-14333720
"2010","00249831",602887430,592319310,10568120
"2010","00249998",2464822560,2521573610,-56751050
"2010","00250627",1120084290,1089786490,30297800
"2010","00250805",412650360,392810880,19839480
"2010","00250996",180587620,177851440,2736180
"2010","00251810",1818829710,1954813860,-135984150
"2010","00251984",377030610,364647740,12382870
"2010","00252921",455635840,437210960,18424880
"2010","00253014",3284284700,3003243400,281041300
"2010","00253316",737723580,807483220,-69759640
"2010","00253383",237532330,222097960,15434370
"2010","00253901",740262760,692545060,47717700
"2010","00253979",2291062440,2273922880,17139560
"2010","00254061",1183057560,1150025740,33031820
"2010","00254657",2360621470,2332473330,28148140
"2010","00254843",1342661600,1390457690,-47796090
"2010","00255513",529845820,523532560,6313260
"2010","00255661",1447205510,1490216510,-43011000
"2010","00256129",818630980,767746780,50884200
"2010","00256455",175671010,170455300,5215710
"2010","00256986",335544120,322373530,13170590
"2010","00257125",411926040,406059270,5866770
"2010","00257265",370943300,384255870,-13312570
"2010","00257966",141088140,133437520,7650620
"2010","00258199",509771220,506023410,3747810
"2010","00259047",805754200,724925810,80828390
"2010","00259438",295105500,322173070,-27067570
"2010","00259586",727877840,684526490,43351350
"2010","00260177",402689160,421405640,-18716480
"2010","00260231",671196420,649969810,21226610
